IBOV - Carteira do Dia 04/08/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
JHSF3;JHSF PART;ON      NM;305.915.142;0,090;
KLBN11;KLABIN S/A;UNT ED  N2;812.994.397;0,817;
RENT3;LOCALIZA;ON      NM;735.708.470;2,256;
LWSA3;LOCAWEB;ON      NM;418.965.264;0,188;
LREN3;LOJAS RENNER;ON      NM;977.821.540;1,380;
MGLU3;MAGAZ LUIZA;ON      NM;2.896.234.638;0,440;
MRFG3;MARFRIG;ON      NM;348.234.011;0,239;
CASH3;MELIUZ;ON      NM;548.153.725;0,032;
BEEF3;MINERVA;ON      NM;260.409.710;0,173;
MRVE3;MRV;ON      NM;294.647.234;0,152;
MULT3;MULTIPLAN;ON      N2;272.718.548;0,337;
PCAR3;P.ACUCAR-CBD;ON      NM;156.946.474;0,133;
PETR3;PETROBRAS;ON      N2;2.706.334.382;5,091;
PETR4;PETROBRAS;PN      N2;4.566.442.248;8,012;
PRIO3;PETRORIO;ON      NM;839.159.130;1,033;
PETZ3;PETZ;ON      NM;336.154.589;0,188;
POSI3;POSITIVO TEC;ON      NM;78.053.723;0,029;
QUAL3;QUALICORP;ON      NM;277.027.077;0,149;
RADL3;RAIADROGASIL;ON      NM;1.071.076.905;1,220;
RDOR3;REDE D OR;ON      NM;772.010.260;1,324;
RAIL3;RUMO S.A.;ON      NM;1.216.056.103;1,131;
SBSP3;SABESP;ON      NM;340.001.934;0,800;
SANB11;SANTANDER BR;UNT;362.703.399;0,531;
CSNA3;SID NACIONAL;ON;642.398.790;0,471;
SLCE3;SLC AGRICOLA;ON      NM;96.270.946;0,212;
SULA11;SUL AMERICA;UNT     N2;283.167.854;0,354;
SUZB3;SUZANO S.A.;ON      NM;726.779.281;1,782;
TAEE11;TAESA;UNT     N2;218.568.234;0,467;
VIVT3;TELEF BRASIL;ON;413.890.875;0,956;
TIMS3;TIM;ON      NM;808.619.532;0,511;
TOTS3;TOTVS;ON      NM;519.851.955;0,731;
UGPA3;ULTRAPAR;ON      NM;1.086.067.887;0,757;
USIM5;USIMINAS;PNA     N1;514.680.651;0,225;
VALE3;VALE;ON      NM;3.768.748.489;13,179;
VIIA3;VIA;ON      NM;1.596.295.753;0,217;
VBBR3;VIBRA;ON      NM;1.131.883.365;1,042;
WEGE3;WEG;ON      NM;1.484.859.030;2,162;
YDUQ3;YDUQS PART;ON      NM;300.833.122;0,223;
Quantidade Teórica Total;;;96.848.399.913;100,000
Redutor;;;18.606.851,47694913
