,incomeBeforeTax,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable
2022-03-31,1474202000,975539000,431374000,1754004000,1118728000,1648684800,1118728000,26208000,-242691000,498663000,4870390000,3751662000,3116386000,355474000,975539000,975539000,36815194000,28187148000,25907398000,2089652000,54094546000,1648684800,15000000000,248362000,10861024000,7122335000,46374000,9810216000,491492000,5214658000,1671527000,46374000,384114000,7000002000,85020000,-10907796000,2915206000,3227436000,15452810000,117506000,252052000
2021-12-31,565033000,567428000,527984000,1700036000,877475000,1640908800,877475000,34558000,-223773000,-2395000,5063808000,4186333000,3363772000,-312442000,567428000,567428000,36399981000,28233626000,24931859000,1922242000,53165485000,1640908800,15000000000,192873000,9885485000,7247480000,46374000,9788059000,717929000,5092927000,1724671000,46374000,395010000,6502998000,79437000,-11468122000,2433385000,3045305000,15475885000,113506000,236763000
2021-09-30,706477000,468531000,466599000,1829117000,1216055000,1632960000,1216055000,27904000,-227495000,237946000,5153917000,3937862000,3324800000,-509578000,468531000,468531000,35484722000,28570587000,24505769000,1392547000,53076356000,1632960000,15000000000,221348000,9906771000,7796210000,-401002000,10069622000,2402028000,6137903000,3180672000,-401002000,381295000,7061474000,79243000,-10978953000,1745617000,2586507000,14207657000,105974000,257195000
2021-06-30,1148031000,773052000,474773000,1532492000,890453000,1625011200,890453000,23165000,-124495000,374979000,4595919000,3705466000,3063427000,257578000,773052000,773052000,35483475000,26884206000,24037238000,1335429000,50921444000,1625011200,15000000000,236041000,9438240000,7740502000,-401002000,9327910000,249932000,5932223000,3180982000,-401002000,373160000,5661267000,75632000,-11446237000,2698856000,2367572000,12773101000,108866000,225901000
