,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable
2022-03-31,909064000.0,1939284000.0,580076000.0,480942000.0,1727441000.0,1372946000.0,1648684800.0,1372946000.0,-251955000.0,-554489000.0,230467000.0,5843189000.0,4470243000.0,4115748000.0,-463882000.0,678597000.0,580076000.0,29413542000.0,52408668000.0,16081201000.0,1939284000.0,327296000.0,2810347000.0,70429153000.0,1648684800.0,7437570000.0,519060000.0,9440131000.0,12476557000.0,-796500000.0,16366187000.0,1990351000.0,11328580000.0,948160000.0,3410003000.0,-153775000.0,5289557000.0,19206043000.0,153824000.0,-13332341000.0,6378394000.0,10082728000.0,28517353000.0,235510000.0,2261867000.0
2021-12-31,2093089000.0,1848111000.0,1421175000.0,572433000.0,1416805000.0,2009153000.0,1640908800.0,2009153000.0,-948763000.0,-393916000.0,466625000.0,8057194000.0,6048041000.0,6640389000.0,83936000.0,1626464000.0,1421175000.0,23350731000.0,47109828000.0,12756361000.0,1848111000.0,697926000.0,2421799000.0,61714300000.0,1640908800.0,4655287000.0,1058971000.0,8860055000.0,12226524000.0,-758981000.0,16220885000.0,2996589000.0,12989443000.0,939618000.0,3592692000.0,-116256000.0,282061000.0,21690029000.0,170594000.0,-10594370000.0,7374627000.0,10056132000.0,21862126000.0,203710000.0,3918147000.0
2021-09-30,703381000.0,1945794000.0,1410396000.0,440695000.0,1729781000.0,1202233000.0,1632960000.0,1202233000.0,34491000.0,-292986000.0,-887999000.0,7488836000.0,6286603000.0,5759055000.0,-498852000.0,1591380000.0,1410396000.0,20434545000.0,41676926000.0,11941123000.0,1945794000.0,151818000.0,1868815000.0,55563843000.0,1632960000.0,4655287000.0,1079419000.0,8087744000.0,12228385000.0,-801908000.0,14911720000.0,3778086000.0,12216041000.0,1080802000.0,4734099000.0,-159183000.0,202490000.0,19718254000.0,296834000.0,-8493422000.0,5842542000.0,8876282000.0,17191242000.0,141925000.0,2703792000.0
2021-06-30,778111000.0,1951547000.0,509730000.0,375780000.0,1524720000.0,1072919000.0,1625011200.0,1072919000.0,14650000.0,-543073000.0,146102000.0,4554686000.0,3481767000.0,3029966000.0,-294808000.0,632009000.0,509730000.0,14943943000.0,30980209000.0,10569520000.0,1951547000.0,21636000.0,1765827000.0,43501276000.0,1625011200.0,4655287000.0,102840000.0,6677348000.0,8534034000.0,-763115000.0,12495857000.0,4205024000.0,7977453000.0,,3520917000.0,-131110000.0,46289000.0,15745207000.0,269980000.0,-4374423000.0,3916445000.0,7198799000.0,14452575000.0,95942000.0,1526651000.0
