,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable
2022-03-31,140090000,445080000,452252000,852471000,1469679000,526369000,1648684800,526369000,76322000,-322112000,23257000,31503291000,30976922000,30033612000,-386279000,344347000,116833000,452252000,2514105000,597132000,26673072000,10542239000,445080000,2425273000,37660391000,1648684800,5171752000,9674842000,5318586000,1245826000,716812000,-545231000,3386438000,2252526000,13496305000,608473000,4948305000,-56806000,7314429000,23076959000,651648000,7311322000,936573000,5821753000,10684456000,4242281000,5324191000
2021-12-31,412600000,402319000,380200000,1051000000,1530100000,497500000,1640908800,497500000,-18400000,-365300000,70800000,31904300000,31406800000,30374200000,-84900000,48700000,341800000,380200000,2177334000,596481000,28541117000,10066921000,402319000,3215032000,39010357000,1640908800,5171752000,11555969000,4866409000,1226282000,818096000,-567721000,3361271000,2280074000,12640230000,571755000,2814872000,-79296000,7171605000,25024181000,457870000,7071491000,1804122000,5367220000,13515126000,3918772000,5789954000
2021-09-30,266266000,389069000,369203000,1283650000,1798941000,555324000,1632960000,555324000,-35581000,-424834000,-107991000,31911126000,31355802000,30112185000,-289058000,48700000,374257000,369203000,2229306000,595868000,27187365000,9795901000,389069000,430915000,37372335000,1632960000,5171752000,611787000,4667976000,1304199000,863535000,-639695000,4682884000,2826300000,10345230000,1245527000,2370984000,-150627000,10312105000,18342912000,941593000,6703060000,2914869000,6274505000,13991682000,5574224000,6364116000
2021-06-30,36611000,384076000,-31080000,1183689000,1495768000,400688000,1625011200,400688000,-78329000,-153333000,54854000,28526054000,28125366000,27030286000,-364077000,48700000,-18243000,-31080000,2064898000,595420000,25924362000,9664741000,384076000,494379000,35973179000,1625011200,5171752000,514410000,4516804000,1282287000,863535000,-619235000,4354919000,2860287000,10053056000,1081597000,2978651000,-130167000,10070770000,17681461000,937596000,6736308000,3355993000,5902220000,13079918000,4888796000,5492599000
