,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable
2022-03-31,7213113000,3282818000,5142273000,8930309000,16365641000,7412537000,1648684800,7412537000,22795000,-1580231000,1774295000,90866573000,83454036000,74500932000,-199424000,5438818000,5142273000,10061665000,211879000,142746422000,43186091000,3282818000,6560251000,189215331000,1648684800,23576206000,3690748000,13780734000,10578245000,29672471000,5617272000,11362505000,17281756000,53114252000,1997275000,11003067000,5617272000,62886724000,74981543000,250423000,3451955000,20218842000,72749418000,33790197000,24887341000
2021-12-31,7644708000,3677428000,6473008000,8932571000,19321410000,10356830000,1640908800,10356830000,32009000,-1546984000,1128699000,97192098000,86835268000,77870688000,-2712122000,6516009000,6473008000,11783916000,211879000,159312396000,44119292000,3677428000,5659677000,207109116000,1640908800,23576206000,3641624000,13485593000,12177897000,32564548000,6845614000,11471264000,23239150000,59812238000,1730122000,11468412000,9883452000,67120236000,83925962000,243190000,-229172000,23082331000,80603870000,33962857000,30217201000
2021-09-30,9816916000,3621586000,7585570000,7761023000,19270830000,11595379000,1632960000,11595379000,-85572000,-1375256000,2167006000,92625318000,81029939000,73354488000,-1778463000,7649910000,7585570000,11695884000,211879000,145850725000,46554522000,3621586000,5428284000,196026833000,1632960000,23576206000,3614744000,14367798000,14250988000,32249531000,8398639000,11222515000,23332141000,51844085000,1454197000,9787424000,9899142000,61260652000,79367852000,230399000,2609107000,21563302000,74158917000,30857665000,24266108000
2021-06-30,6247591000,3314414000,4382462000,9226009000,16480966000,7381370000,1625011200,7381370000,-126413000,-1154609000,2039436000,85626927000,78245557000,69145961000,-1133779000,4208155000,4382462000,7273435000,211879000,127070651000,41898201000,3314414000,5482144000,172283266000,1625011200,23576206000,3204244000,9276276000,12805897000,30374143000,8833840000,10959390000,16840600000,45973209000,1641979000,7067249000,8839922000,55319120000,68156375000,200803000,4250623000,19272442000,63583724000,28839089000,22073394000
