,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable
2022-06-30,914000000,1488000000,620000000,2648000000,4346000000,1318000000,1656547200,1318000000,-4000000,-495000000,224000000,25279000000,23961000000,20933000000,-404000000,690000000,620000000,1049000000,57855000000,19936000000,1488000000,10094000000,79279000000,1656547200,9911000000,399000000,8174000000,13850000000,4282000000,1851000000,9874000000,3657000000,36988000000,928000000,4680000000,1851000000,28965000000,34156000000,391000000,14605000000,5843000000,2442000000,12191000000,14381000000
2022-03-31,525000000,1353000000,370000000,2304000000,3537000000,923000000,1648684800,923000000,-4000000,-349000000,119000000,20015000000,19092000000,16478000000,-398000000,406000000,370000000,511000000,39749000000,17440000000,1353000000,8322000000,58542000000,1648684800,7660000000,900000000,7857000000,7098000000,1828000000,1923000000,7043000000,3608000000,24694000000,661000000,1322000000,1923000000,17511000000,30618000000,529000000,15101000000,5471000000,5970000000,9512000000,11392000000
2021-12-31,1339000000,1317000000,1017000000,2324000000,4068000000,1443000000,1640908800,1443000000,-4000000,-270000000,230000000,21864000000,20421000000,17796000000,-104000000,1109000000,1017000000,319000000,40528000000,17079000000,1317000000,9250000000,58924000000,1640908800,7651000000,995000000,7487000000,5602000000,1828000000,1941000000,7288000000,6945000000,29076000000,633000000,1431000000,1941000000,17330000000,30838000000,554000000,14737000000,3025000000,3973000000,8788000000,15449000000
2021-09-30,954000000,1374000000,638000000,2293000000,3765000000,1167000000,1632960000,1167000000,-4000000,-210000000,274000000,19856000000,18689000000,16091000000,-213000000,680000000,638000000,319000000,35900000000,16925000000,1374000000,8126000000,54199000000,1632960000,7651000000,1018000000,7336000000,5291000000,1828000000,1938000000,7405000000,2350000000,24712000000,641000000,1342000000,1938000000,16827000000,26656000000,449000000,14602000000,4517000000,3971000000,8534000000,9204000000
