,researchDevelopment,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable
2022-06-30,745000000,24872000000,7765000000,30033000000,625000000,25597000000,23096000000,1656547200,23096000000,595000000,-1043000000,4399000000,54974000000,31878000000,29377000000,1776000000,9812000000,20473000000,30033000000,32354000000,248151000000,185951000000,7765000000,35340000000,441867000000,1656547200,77300000000,3160000000,108262000000,105092000000,17133000000,389000000,72479000000,37633000000,63468000000,54266000000,4523000000,36818000000,226107000000,83924000000,9870000000,136464000000,253000000,15145000000,72180000000,26997000000,19193000000
2022-03-31,631000000,34143000000,4047000000,23046000000,629000000,32545000000,29989000000,1648684800,29989000000,496000000,-2273000000,10986000000,56719000000,26730000000,24174000000,4154000000,6000000,23157000000,23046000000,32205000000,258955000000,178314000000,4047000000,44607000000,441316000000,1648684800,77300000000,5445000000,78229000000,106755000000,16436000000,22785000000,70852000000,42931000000,69492000000,53029000000,4629000000,46462000000,219400000000,92219000000,10204000000,129673000000,204000000,18740000000,75708000000,23871000000,16327000000
2021-12-31,631000000,34143000000,4655000000,0,629000000,0,0,1640908800,29989000000,496000000,-2273000000,0,0,0,0,0,6000000,23157000000,23046000000,32382000000,302070000000,192403000000,4655000000,52727000000,499128000000,1640908800,77300000000,6939000000,87621000000,124901000000,17905000000,27482000000,80134000000,65409000000,84814000000,63847000000,6612000000,56671000000,233995000000,124800000000,9912000000,142116000000,1028000000,26649000000,84389000000,24429000000,19393000000
2021-09-30,708000000,18659000000,4171000000,20203000000,603000000,35728000000,21406000000,1632960000,21406000000,-12000000,-916000000,-1915000000,66261000000,44855000000,30533000000,-2747000000,6000000,20574000000,20203000000,30817000000,287107000000,181296000000,4171000000,51243000000,472574000000,1632960000,77300000000,2972000000,54344000000,107410000000,17666000000,49652000000,80323000000,59057000000,87442000000,62020000000,8163000000,74981000000,223492000000,108736000000,11540000000,132813000000,9474000000,9231000000,84194000000,27659000000,22282000000
