,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable
2022-03-31,788756000,1171655000,522798000,158537000,1147786000,1114794000,1648684800,1114794000,-168034000,-377132000,228645000,4111111000,2996317000,2963325000,-326038000,560111000,522798000,10872435000,60490000,23798975000,11555130000,1171655000,340003000,3249224000,36525760000,1648684800,5502716000,3315175000,6783363000,5593064000,28625000,-791439000,7619702000,2545719000,7279312000,619485000,1687266000,-601951000,5995617000,10623344000,1386037000,654070000,175881000,4079235000,10837729000,496258000,1261622000
2021-12-31,905178000,1142615000,809048000,89842000,436142000,804624000,1640908800,804624000,-593482000,-237061000,34079000,5233665000,4429041000,4797523000,100554000,871099000,809048000,8267354000,60490000,21084727000,11151397000,1142615000,803447000,2407077000,33378739000,1640908800,5502716000,2595363000,6260565000,4997572000,28625000,-672374000,7828859000,2699490000,6989584000,601422000,1580503000,-581840000,6068213000,9871303000,1314385000,2855418000,11722000,4088721000,9017011000,460408000,1797631000
2021-09-30,831642000,1232149000,510518000,176324000,828819000,970221000,1632960000,970221000,-317726000,-174856000,241248000,5693268000,4723047000,4864449000,-138579000,590394000,510518000,7897650000,61066000,21333426000,10996900000,1232149000,494364000,3288828000,33562475000,1632960000,5502716000,3369386000,6512827000,5048055000,65868000,-1079709000,7816219000,1567155000,8601212000,653856000,2287451000,-595843000,6264408000,9281150000,2237180000,3033382000,230106000,3896281000,7603611000,193518000,1923473000
2021-06-30,540230000,1168131000,344490000,190363000,820904000,630139000,1625011200,630139000,402000,-138792000,159480000,3954428000,3324289000,3133524000,-89909000,380750000,344490000,8319553000,61315000,20065731000,10487547000,1168131000,129107000,2517692000,31721409000,1625011200,5502716000,2349981000,6002310000,5411941000,70528000,-1078794000,7261534000,1535985000,7284492000,725440000,2344319000,-592766000,6267547000,7609218000,2193029000,2097466000,107799000,3270725000,7286828000,313838000,1405512000
