,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable
2022-03-31,9133000000,10075000000,6651000000,14937000000,28359000000,0,1648684800,10901000000,2521000000,2198000000,28359000000,17458000000,0,-1768000000,6935000000,6651000000,21161000000,284000000,1906326000000,152866000000,10075000000,151314000000,2069267000000,1648684800,90729000000,125504000000,70216000000,262907000000,-8363000000,997296000000,69142000000,1421231000000,50968000000,265777000000,-8284000000,10628000000,513676000000,526506000000,131705000000,218434000000,6929000000,218159000000,807043000000
2021-12-31,10272000000,11612000000,6596000000,16097000000,29193000000,0,1640908800,10791000000,2305000000,3242000000,29193000000,18402000000,0,-519000000,7030000000,6596000000,21110000000,284000000,1904730000000,152864000000,11612000000,147155000000,2069206000000,1640908800,90729000000,128528000000,66161000000,255768000000,-4310000000,1003212000000,62867000000,1445264000000,50831000000,264187000000,-3782000000,12009000000,517991000000,514884000000,131754000000,227488000000,7602000000,199520000000,850372000000
2021-09-30,9436000000,11356000000,6076000000,14159000000,26100000000,0,1632960000,9988000000,1953000000,3041000000,26100000000,16112000000,0,-552000000,6395000000,6076000000,20789000000,284000000,1884047000000,147606000000,11356000000,118831000000,2043009000000,1632960000,90729000000,121794000000,59866000000,279633000000,-3273000000,951703000000,49038000000,1375424000000,53670000000,196492000000,-2745000000,11828000000,518693000000,539996000000,126817000000,237341000000,8028000000,223817000000,818734000000
2021-06-30,13985000000,11060000000,8404000000,12986000000,30446000000,0,1625011200,15039000000,2421000000,5246000000,30446000000,15407000000,0,-1054000000,8739000000,8404000000,17511000000,284000000,1802831000000,143354000000,11060000000,126809000000,1957245000000,1625011200,90729000000,119670000000,55158000000,276621000000,-2817000000,901771000000,46110000000,1302585000000,53635000000,208121000000,-2289000000,11450000000,485183000000,541330000000,125843000000,213704000000,7260000000,218750000000,793501000000
