,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable
2022-03-31,28226000,10286000,27990000,139903000,204793000,111725000,1648684800,111725000,-46835000,-52568000,-220000,1031303000,919578000,826510000,-83499000,28446000,27990000,33546000,3035052000,1101316000,10286000,464762000,4146654000,1648684800,742700000,45727000,389353000,108788000,52134000,-30737000,339704000,626772000,2077857000,1060000,340363000,-9801000,103343000,3508809000,109118000,1015636000,911267000,822574000,1925043000,1036464000
2021-12-31,43752000,9830000,40564000,153662000,210340000,83259000,1640908800,83259000,-26581000,-34984000,1898000,1074331000,991072000,863991000,-39507000,41854000,40564000,34264000,2572475000,1171831000,9830000,284589000,3754136000,1640908800,742700000,58849000,361419000,107893000,52730000,67712000,339982000,359007000,1937651000,624000,263441000,88840000,92894000,3120040000,114226000,1084837000,1009975000,500406000,1690347000,1135271000
2021-09-30,54941000,8540000,53592000,128860000,197800000,71962000,1632960000,71962000,-3022000,-26047000,1199000,828794000,756832000,630994000,-17021000,53742000,53592000,34984000,2124791000,1187044000,8540000,231726000,3320375000,1632960000,742700000,85188000,369657000,88997000,53327000,74687000,339553000,388751000,1660665000,1489000,325233000,96188000,94712000,2702192000,95607000,1098733000,819776000,346318000,1406434000,921186000
2021-06-30,52972000,8390000,51220000,129812000,203705000,103328000,1625011200,103328000,-29435000,-21650000,1429000,785892000,682564000,582187000,-50356000,51543000,51220000,35377000,2018877000,1098108000,8390000,274836000,3125375000,1625011200,742700000,48943000,316143000,77862000,53923000,39265000,340931000,496452000,1511388000,903000,363845000,54483000,91159000,2512097000,91888000,1008808000,918241000,398510000,1048461000,701895000
