,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable
2022-03-31,-204163000.0,2044000.0,-181964000.0,1093821000.0,1404531000.0,297306000.0,1648684800.0,297306000.0,13404000.0,-304191000.0,-22185000.0,5125315000.0,4828009000.0,3720784000.0,-501469000.0,-181978000.0,-181964000.0,10002791000.0,9546332000.0,23514641000.0,49145726000.0,2044000.0,396977000.0,623601000.0,72662411000.0,1648684800.0,38049915000.0,1388312000.0,2136337000.0,4807530000.0,42461149000.0,-586858000.0,4416632000.0,1016801000.0,7342721000.0,1540348000.0,1310664000.0,-257752000.0,6699366000.0,7795070000.0,1287403000.0,-3318214000.0,3336818000.0,1752824000.0,9517481000.0,300315000.0,3730572000.0
2021-12-31,133717000.0,853000.0,200018000.0,735050000.0,984716000.0,242308000.0,1640908800.0,242308000.0,7358000.0,-170250000.0,-66508000.0,2730113000.0,2487805000.0,1745397000.0,-108591000.0,200225000.0,200018000.0,2464061000.0,,10461395000.0,10572141000.0,853000.0,172025000.0,201944000.0,21034389000.0,1640908800.0,8352335000.0,381801000.0,2318238000.0,1299383000.0,5092448000.0,-98432000.0,1683612000.0,347256000.0,3184452000.0,1034446000.0,713250000.0,201394000.0,3010935000.0,3318191000.0,5465142000.0,3015632000.0,1720024000.0,712177000.0,4900970000.0,156933000.0,1722500000.0
2021-09-30,58871000.0,4284000.0,43191000.0,630383000.0,792960000.0,176241000.0,1632960000.0,176241000.0,-13664000.0,-53885000.0,15199000.0,2644131000.0,2467890000.0,1851171000.0,-117370000.0,43672000.0,43191000.0,2607193000.0,,6784367000.0,10615637000.0,4284000.0,179056000.0,241478000.0,17404288000.0,1632960000.0,8352335000.0,408592000.0,2139005000.0,1081244000.0,4807734000.0,124297000.0,1519931000.0,506142000.0,3267099000.0,900478000.0,649852000.0,198295000.0,2603532000.0,3710513000.0,2155385000.0,3200710000.0,2028356000.0,626145000.0,1412231000.0,141278000.0,1778451000.0
2021-06-30,79476000.0,3622000.0,104398000.0,638130000.0,760926000.0,129035000.0,1625011200.0,129035000.0,-6239000.0,-39631000.0,-25134000.0,2459714000.0,2330679000.0,1698788000.0,-49559000.0,104610000.0,104398000.0,2736587000.0,,6640405000.0,10661787000.0,3622000.0,170669000.0,339096000.0,17305814000.0,1625011200.0,8352335000.0,402899000.0,2141538000.0,1045820000.0,4556160000.0,167914000.0,1418252000.0,226616000.0,2653804000.0,809022000.0,93563000.0,167916000.0,2449729000.0,3749082000.0,2396004000.0,3369040000.0,2270857000.0,704723000.0,2001059000.0,143987000.0,1677869000.0
