,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable
2022-03-31,118400000.0,86702000.0,104649000.0,51109000.0,112863000.0,56065000.0,1648684800.0,56065000.0,5689000.0,-1316000.0,8133000.0,287160000.0,231095000.0,174297000.0,62335000.0,110267000.0,104649000.0,2027000.0,38297000.0,593428000.0,4387209000.0,86702000.0,270221000.0,5067339000.0,1648684800.0,2888997000.0,1666509000.0,197910000.0,-206594000.0,2322299000.0,58846000.0,360083000.0,12545000.0,-90168000.0,45943000.0,2219960000.0,477110000.0,4385182000.0,772168000.0,349087000.0,25714000.0,1039859000.0,62804000.0
2021-12-31,84456000.0,85608000.0,72481000.0,50291000.0,77008000.0,26998000.0,1640908800.0,26998000.0,-281000.0,-661000.0,6555000.0,176398000.0,149400000.0,99390000.0,57458000.0,77901000.0,72481000.0,1177000.0,38297000.0,706437000.0,4283453000.0,85608000.0,401752000.0,5075498000.0,1640908800.0,2888997000.0,1561860000.0,203002000.0,-205701000.0,2381527000.0,62045000.0,470140000.0,6214000.0,-90168000.0,45342000.0,2203071000.0,444381000.0,4282276000.0,835645000.0,382063000.0,23145000.0,923318000.0,49483000.0
2021-09-30,159932000.0,77934000.0,145247000.0,51379000.0,150140000.0,95372000.0,1632960000.0,95372000.0,3389000.0,-496000.0,7709000.0,297752000.0,202380000.0,147612000.0,64560000.0,152223000.0,145247000.0,1076000.0,38297000.0,592136000.0,4389922000.0,77934000.0,273768000.0,5059992000.0,1632960000.0,2888997000.0,1591534000.0,225322000.0,-128906000.0,2388404000.0,78499000.0,343264000.0,5604000.0,-90168000.0,28742000.0,2212807000.0,428963000.0,4388846000.0,951653000.0,313463000.0,12987000.0,869192000.0,47742000.0
2021-06-30,152562000.0,71426000.0,139490000.0,52671000.0,131416000.0,79922000.0,1625011200.0,79922000.0,-1177000.0,-677000.0,6754000.0,288747000.0,208825000.0,157331000.0,72640000.0,145808000.0,139490000.0,904000.0,38297000.0,533279000.0,4283413000.0,71426000.0,247033000.0,4888118000.0,1625011200.0,2888997000.0,1446287000.0,199420000.0,-90168000.0,2131765000.0,77252000.0,315209000.0,,-90168000.0,16325000.0,2325359000.0,413765000.0,4282509000.0,983283000.0,334929000.0,11144000.0,929895000.0,57313000.0
