TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
MYPK3;16,74;9,80;3,98;0,72;0,19;12,85;9,97;4,35;1,74;4,64;2,91;1,20;0,17;1,46;-0,39;1,34;17,95;4,77;11,76;0,27;0,71;1,09;14,96;97,43;18.820.354,88;23,40;4,20;-0,02;2.560.968.552,66
NEOE3;15,59;5,12;4,50;0,74;0,21;28,43;21,16;9,30;1,98;5,66;3,68;1,38;0,42;4,31;-0,28;1,25;16,50;4,66;11,59;0,28;0,71;0,50;23,82;69,22;31.995.957,38;20,98;3,46;0,45;18.959.513.013,76
NGRD3;2,21;0,67;43,18;1,15;0,71;65,29;6,06;4,84;34,51;20,88;-13,79;-0,46;2,09;2,28;-1,37;2,88;2,67;1,65;1,55;0,62;0,38;0,34;;;1.144.916,25;1,92;0,05;-1,91;529.830.372,60
NTCO3;18,41;0,72;45,47;1,07;0,49;65,01;2,19;1,44;29,89;38,88;8,60;0,31;0,65;54,94;-0,68;1,03;2,35;1,07;-0,57;0,46;0,54;0,75;38,39;13,55;155.107.465,04;17,22;0,40;0,01;25.794.594.930,00
ODPV3;9,53;2,99;12,15;4,66;2,65;62,06;30,61;24,11;9,57;9,22;-0,45;-0,22;2,93;-29,04;-3,55;0,74;38,37;21,83;31,72;0,57;0,43;0,91;6,18;15,61;8.143.662,25;2,04;0,78;0,55;5.474.325.682,89
OMGE3;27,57;;17,56;1,34;0,45;30,64;61,55;16,27;4,64;8,72;4,08;1,18;2,86;9,80;-0,54;1,38;7,66;2,55;10,08;0,33;0,67;0,16;55,45;100,39;49.236.324,19;20,50;1,57;0,01;5.521.562.588,85
PARD3;20,33;2,03;11,72;2,89;1,12;31,37;18,81;11,09;6,91;7,16;0,22;0,09;1,30;35,73;-1,70;1,10;24,66;9,57;23,69;0,39;0,61;0,86;17,16;17,20;7.449.497,46;7,04;1,74;0,28;2.677.202.481,80
PCAR3;16,71;2,12;2,36;0,32;0,10;25,26;3,10;4,06;3,09;6,21;3,13;0,32;0,10;5,40;-0,15;1,06;13,41;4,15;3,26;0,31;0,64;1,02;4,35;;42.889.816,25;52,92;7,09;-0,28;4.500.244.250,47
PETR3;36,91;31,28;2,98;1,17;0,48;50,89;50,42;28,42;1,68;2,25;0,63;0,44;0,85;8,98;-0,62;1,31;39,35;16,08;30,90;0,41;0,59;0,57;9,88;;457.816.480,29;31,47;12,38;0,05;465.732.257.626,54
PETR4;34,24;33,72;2,77;1,09;0,44;50,89;50,42;28,42;1,56;2,25;0,63;0,44;0,79;8,33;-0,57;1,31;39,35;16,08;30,90;0,41;0,59;0,57;9,88;;1.907.126.109,88;31,47;12,38;0,05;465.732.257.626,54
