TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SLCE3;42,22;5,75;6,12;1,91;0,60;36,69;31,78;17,74;3,42;4,14;0,72;0,40;1,09;2,94;-1,15;1,73;31,18;9,76;25,20;0,31;0,67;0,55;30,68;117,70;67.120.240,00;22,11;6,89;0,05;8.968.482.129,78
SMTO3;34,36;6,39;8,21;2,51;0,84;42,31;42,18;25,89;5,04;7,15;2,11;1,05;2,13;4,79;-1,25;2,21;30,58;10,29;17,08;0,34;0,66;0,40;16,99;39,15;40.545.819,71;13,68;4,18;0,14;12.163.829.264,44
SOJA3;11,02;0,36;10,44;2,00;1,30;14,20;11,48;11,19;10,17;10,03;-0,15;-0,03;1,17;3,11;-4,43;2,44;19,15;12,44;15,69;0,65;0,35;1,11;;;1.666.064,17;5,51;1,06;0,12;1.290.886.392,52
SOMA3;11,61;0,78;27,82;1,27;0,89;56,50;6,90;9,48;38,22;41,97;3,75;0,12;2,64;5,67;-1,26;2,14;4,57;3,19;1,30;0,70;0,30;0,34;;;44.048.997,29;9,14;0,42;-0,01;9.110.917.000,53
SQIA3;18,69;0,36;51,77;2,11;1,14;39,63;9,38;7,50;41,42;45,01;3,59;0,18;3,88;-72,10;-1,28;0,88;4,08;2,19;3,27;0,54;0,46;0,29;33,05;30,83;8.034.594,04;8,85;0,36;0,10;1.643.635.456,68
STBP3;7,11;4,21;18,33;2,73;1,29;42,35;26,60;20,19;13,91;12,30;-1,60;-0,31;3,70;7,85;-1,79;2,47;14,90;7,05;12,38;0,47;0,53;0,35;13,09;;19.900.055,92;2,60;0,39;0,02;6.140.568.606,66
SUZB3;47,23;2,82;5,44;2,67;0,52;48,16;39,87;27,20;3,71;6,89;3,18;2,29;1,48;2,86;-0,73;2,87;49,16;9,64;16,41;0,20;0,80;0,35;32,90;47,54;240.916.947,50;17,68;8,69;-3,21;64.292.479.072,32
SYNE3;4,25;205,01;0,51;0,39;0,14;70,26;69,27;54,19;0,40;0,92;0,52;0,51;0,28;0,96;-0,17;4,61;76,79;26,93;36,18;0,35;0,41;0,50;40,50;;1.922.421,63;10,82;8,31;0,00;648.738.891,25
TAEE11;41,77;9,20;6,49;1,99;0,83;84,47;102,90;66,02;4,16;5,97;1,80;0,86;4,28;7,60;-1,02;2,32;30,61;12,75;20,58;0,42;0,58;0,19;20,07;20,80;68.560.180,63;21,03;6,44;-0,67;14.389.719.345,39
TAEE4;13,95;9,18;6,50;1,99;0,83;84,47;102,90;66,02;4,17;5,97;1,80;0,86;4,29;7,61;-1,02;2,32;30,61;12,75;20,58;0,42;0,58;0,19;20,07;20,80;1.454.976,92;7,01;2,15;-0,67;14.389.719.345,39
