TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AVD;20,35;0,44;23,15;1,63;0,84;39,25;6,94;4,50;14,99;16,86;1,88;0,20;1,04;3,36;-1,83;1,88;7,05;3,65;6,25;0,52;0,48;0,81;12,28;7,77;;12,47;0,88;;628.194.325,00
AVGO;558,45;2,85;30,03;9,85;3,09;62,95;34,38;26,42;23,08;26,07;2,99;1,28;7,94;24,98;-3,91;2,44;32,79;10,28;15,30;0,31;0,69;0,39;15,70;;;56,71;18,60;;226.160.243.325,00
AVGOP;1.748,97;4,57;94,05;30,84;9,67;62,95;34,38;26,42;72,29;26,07;2,99;1,28;24,85;78,23;-12,24;2,44;32,79;10,28;15,30;0,31;0,69;0,39;15,70;;;56,71;18,60;;226.160.243.325,00
AVID;26,78;;24,93;-8,77;4,84;65,48;13,08;11,44;21,82;24,37;2,55;;2,85;-80,43;-12,57;0,91;-35,16;19,40;102,19;-0,55;1,55;1,70;-4,35;-3,01;;-3,05;1,07;;1.195.410.996,00
AVIR;8,38;;44,94;1,06;1,00;100,00;11,49;6,90;26,99;0,51;-26,48;-1,04;3,10;1,05;-142,77;27,46;2,35;2,24;2,35;0,95;0,05;0,32;;;;7,93;0,19;;697.707.068,00
AVNS;27,13;;-162,52;1,03;0,73;52,63;7,35;-1,02;22,45;25,02;2,58;0,12;1,65;4,49;-0,98;2,89;-0,63;-0,45;-0,15;0,71;0,29;0,44;5,63;-33,44;;26,45;-0,17;;1.283.924.537,00
AVNT;48,02;1,93;17,36;2,41;0,87;22,04;8,12;5,01;10,71;13,69;2,97;0,67;0,87;9,71;-1,44;1,29;13,90;4,99;8,74;0,36;0,64;0,99;10,40;6,90;;19,90;2,77;;4.366.789.938,00
AVNW;33,87;;19,44;1,92;1,18;36,22;9,08;6,55;14,01;12,85;-1,16;-0,16;1,27;4,16;-3,07;1,86;9,86;6,09;9,92;0,62;0,38;0,93;0,46;;;17,67;1,74;;378.222.903,00
AVO;16,81;;48,88;2,26;1,32;9,71;3,91;2,48;31,01;36,14;5,13;0,37;1,21;9,40;-1,84;1,98;4,63;2,70;3,80;0,58;0,42;1,09;;;;7,43;0,34;;1.187.723.998,00
AVRO;1,07;;-0,38;0,33;0,27;;;;-0,38;0,82;1,20;-1,02;;0,30;-10,57;9,98;-85,26;-69,61;-77,16;0,82;0,18;0,00;;;;3,28;-2,79;;46.755.255,00
AVT;45,77;2,18;8,42;1,05;0,46;12,22;3,33;2,29;5,79;6,72;0,94;0,17;0,19;1,08;-2,86;2,02;12,47;5,43;12,10;0,44;0,56;2,37;3,14;-17,54;;43,58;5,44;;4.470.891.409,00
AVTR;27,10;;31,93;4,09;1,36;34,21;13,66;7,52;17,59;23,66;6,07;1,41;2,40;18,26;-1,68;1,64;12,80;4,26;7,92;0,33;0,67;0,57;;;;6,63;0,85;;18.266.343.080,00
AVY;199,50;1,40;22,24;8,39;1,99;27,07;12,21;8,37;15,25;17,72;2,47;1,36;1,86;94,74;-3,09;1,06;37,71;8,95;17,02;0,24;0,76;1,07;3,16;15,17;;23,78;8,97;;16.210.651.800,00
AVYA;0,65;;-3,10;0,13;0,01;53,47;5,58;-0,62;0,34;15,70;15,36;5,79;0,02;0,09;-0,01;1,66;-4,17;-0,31;3,96;0,07;0,90;0,50;-4,29;;;5,03;-0,21;;55.793.790,00
AWI;93,89;0,98;23,01;8,25;2,51;36,77;22,73;16,07;16,26;18,53;2,27;1,15;3,70;31,75;-3,13;1,66;35,87;10,92;17,43;0,30;0,70;0,68;5,74;11,84;;11,38;4,08;;4.355.622.823,00
AWK;158,75;1,58;22,22;3,81;1,09;56,38;60,33;33,99;12,51;17,64;5,12;1,56;7,55;-40,65;-1,13;0,59;17,16;4,89;9,79;0,28;0,72;0,14;3,54;21,96;;41,64;7,15;;28.858.606.875,00
AWR;89,22;1,67;39,91;4,75;1,69;71,98;27,40;17,05;24,83;30,29;5,46;1,04;6,80;-15,72;-1,82;0,40;11,90;4,24;7,35;0,36;0,64;0,25;2,73;9,57;;18,78;2,24;;3.297.285.696,00
AX;46,62;;11,76;1,76;0,17;0,00;47,50;32,23;7,98;5,40;-2,57;-0,57;3,79;;-0,17;;14,95;1,47;11,57;0,10;0,90;0,05;13,49;12,64;;26,52;3,97;;2.786.845.698,00
AXL;11,26;;-52,01;2,75;0,22;12,51;2,71;-0,47;8,93;26,56;17,63;5,43;0,24;1,53;-0,35;1,69;-5,29;-0,43;3,76;0,08;0,92;0,92;5,49;-52,37;;4,10;-0,22;;1.289.842.008,00
AXO;25,12;;6,33;0,95;0,09;0,00;47,50;32,23;4,30;5,40;-2,57;-0,57;2,04;;-0,09;;14,95;1,47;11,57;0,10;0,90;0,05;13,49;12,64;;26,52;3,97;;2.786.845.698,00
AXON;132,14;;66,62;7,86;4,86;61,45;10,19;14,20;92,84;89,10;-3,73;-0,32;9,46;12,74;-12,31;2,70;11,80;7,29;5,14;0,62;0,38;0,51;26,34;;;16,81;1,98;;9.383.459.610,00
AXP;164,65;1,15;16,23;5,31;0,60;0,00;21,89;15,35;11,38;8,76;-2,61;-1,22;2,49;;-0,60;;32,74;3,71;33,49;0,11;0,89;0,24;3,29;8,44;;30,99;10,15;;123.445.975.270,00
