TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AZEV3;3,18;;11,28;1,71;0,37;10,07;8,10;6,92;9,64;8,92;0,72;0,11;0,78;-7,15;-0,54;0,95;12,93;3,37;7,62;0,26;0,74;0,49;-8,87;;226.947,21;1,86;0,28;-0,13;145.563.000,00
AZEV4;2,42;;8,59;1,30;0,28;10,07;8,10;6,92;7,34;8,92;0,72;0,11;0,59;-5,44;-0,41;0,95;12,93;3,37;7,62;0,26;0,74;0,49;-8,87;;753.348,09;1,86;0,28;-0,10;145.563.000,00
AZUL4;17,24;;-9,08;-1,20;1,18;18,94;5,08;-17,71;31,63;39,38;30,67;;1,61;-2,78;-1,70;0,42;-13,26;-12,96;13,62;-0,98;1,98;0,73;8,38;;144.274.458,24;-14,33;-1,90;0,38;5.999.158.973,25
B3SA3;12,89;5,48;17,62;3,81;1,66;89,60;57,45;44,61;13,68;13,25;-0,43;-0,12;7,86;12,95;-2,56;1,57;21,60;9,41;12,41;0,44;0,56;0,21;34,69;25,27;441.138.866,71;3,39;0,73;-3,70;78.616.110.000,00
BBAS3;41,70;7,34;5,07;0,79;0,06;26,69;15,37;12,47;4,12;4,12;;;0,63;1,83;-0,06;26,29;15,50;1,15;;0,07;0,92;0,09;-6,50;27,36;545.171.198,00;53,00;8,22;0,08;119.487.889.734,00
BBDC3;16,48;3,65;7,23;1,12;0,10;33,47;18,36;15,32;6,03;6,66;;;1,11;2,11;-0,11;5,40;15,53;1,40;;0,09;0,91;0,09;-5,09;6,31;96.466.603,71;14,68;2,28;0,47;193.899.805.625,65
BBDC4;19,91;3,33;8,73;1,36;0,12;33,47;18,36;15,32;7,29;6,66;;;1,34;2,55;-0,13;5,40;15,53;1,40;;0,09;0,91;0,09;-5,09;6,31;540.361.909,56;14,68;2,28;0,56;193.899.805.625,65
BBSE3;28,75;6,84;12,01;7,40;4,20;;;;10,01;10,01;;;;53,24;-6,45;1,29;61,62;34,94;;0,57;0,43;0,00;;3,59;142.969.876,24;3,89;2,39;0,43;57.500.000.000,00
BEEF3;14,57;6,25;11,61;12,67;0,45;17,67;7,87;2,49;3,68;6,42;2,75;9,46;0,29;1,69;-1,33;1,68;109,12;3,88;15,45;0,04;0,96;1,56;22,82;31,35;77.374.803,85;1,15;1,25;0,30;8.848.119.239,99
BKBR3;8,53;;-30,37;1,58;0,59;64,01;1,66;-2,34;42,90;51,87;8,97;0,33;0,71;10,81;-0,79;1,29;-5,21;-1,95;1,83;0,38;0,62;0,84;14,59;;17.790.244,35;5,39;-0,28;0,36;2.348.781.962,91
BLAU3;31,35;2,34;17,94;3,27;2,36;46,63;30,66;23,25;13,61;12,44;-1,17;-0,28;4,17;4,33;-8,16;4,30;18,21;13,15;14,01;0,72;0,28;0,57;;;17.441.865,97;9,59;1,75;-2,81;5.623.999.987,65
BMOB3;14,16;1,43;18,58;1,26;0,91;24,03;8,13;6,19;14,16;8,37;-5,79;-0,52;1,15;2,24;-2,53;2,77;6,79;4,92;4,85;0,73;0,27;0,79;;;4.840.309,76;11,23;0,76;1,26;1.287.272.742,72
BOAS3;6,91;1,15;13,62;1,70;1,42;53,82;8,96;26,93;40,95;26,91;-14,03;-0,58;3,67;3,03;-3,37;5,14;12,48;10,39;0,25;0,83;0,17;0,39;6,65;;7.536.163,50;4,07;0,51;0,04;3.674.955.644,27
BPAC11;26,25;2,01;15,73;2,43;0,26;19,56;23,33;17,48;11,79;11,79;;;2,75;8,09;-3,48;1,04;15,47;1,67;;0,11;0,89;0,10;5,25;6,21;215.345.477,65;10,78;1,67;-0,81;100.678.549.370,00
BPAN4;7,32;3,33;13,06;1,34;0,18;55,59;8,86;6,49;9,56;9,56;;;0,85;;-0,18;;10,23;1,36;;0,13;0,87;0,21;1,40;;24.444.125,24;5,48;0,56;-1,19;9.562.355.473,80
BRAP3;21,35;32,45;1,39;1,08;1,08;;;;1,41;1,44;-0,05;-0,04;;32,43;-1,12;6,01;78,20;77,67;76,80;0,99;0,01;0,00;;57,26;1.888.011,91;19,69;15,40;0,07;8.862.008.973,58
BRAP4;23,19;32,86;1,51;1,18;1,17;;;;1,53;1,44;-0,05;-0,04;;35,22;-1,22;6,01;78,20;77,67;76,80;0,99;0,01;0,00;;57,26;64.831.661,56;19,69;15,40;0,08;8.862.008.973,58
BRBI11;15,85;7,57;11,26;2,19;0,40;36,49;17,71;22,54;14,33;7,24;-7,10;-1,09;2,54;2,11;-46,38;1,24;19,47;3,56;0,77;0,18;0,82;0,16;;;1.795.297,82;7,23;1,41;0,53;1.664.181.908,40
BRFS3;16,65;;-12,08;1,48;0,32;17,30;2,77;-2,92;12,74;23,17;10,43;1,21;0,35;3,03;-0,58;1,30;-12,25;-2,63;2,98;0,21;0,77;0,90;7,46;;152.744.257,29;11,26;-1,38;0,05;18.023.179.545,90
BRIT3;3,27;0,04;463,99;1,09;0,52;40,86;11,35;0,37;15,26;20,97;5,72;0,41;1,73;7,69;-0,68;1,38;0,23;0,11;3,46;0,47;0,53;0,30;;;1.241.180,91;3,01;0,01;-5,01;1.468.540.375,32
BRKM3;38,50;23,99;4,69;3,24;0,33;22,29;14,42;6,02;1,96;3,20;1,33;2,21;0,28;2,16;-0,59;1,55;69,12;7,13;33,61;0,10;0,91;1,18;17,25;;301.159,76;11,88;8,21;-0,16;29.230.870.869,14
