,TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO,formula-gharant,margem-seguranca
42,CMIG4,11.69,12.56,5.37,1.24,0.50,20.09,20.29,13.92,3.69,5.39,1.07,0.36,0.75,8.93,-0.67,1.30,23.15,9.37,17.89,0.40,0.60,0.67,12.38,70.27,75.642.753.63,9.39,2.17,0.12,30.112.810.480.24,21.411836679743285,83.16370128095198
94,ITSA4,8.93,5.95,5.73,1.20,0.91,35.29,172.39,160.69,5.34,5.71,0.33,0.07,9.21,22.37,-1.03,1.60,20.92,15.96,18.51,0.76,0.20,0.10,11.75,10.80,142.948.237.25,7.42,1.55,0.09,79.065.080.306.15,16.08640730554837,80.13893959180707
159,SANB11,28.72,10.61,7.20,1.00,0.11,30.30,15.31,13.58,6.38,6.37,,,0.98,,-0.11,,13.85,1.54,,0.11,0.89,0.11,0.22,15.28,72.223.074.25,28.75,3.98,-0.93,107.191.501.374.05,50.74014682674854,76.67182042739744
17,BBDC3,15.23,3.96,7.03,1.05,0.10,39.92,22.47,17.82,5.58,6.15,,,1.25,1.77,-0.10,5.37,15.00,1.36,,0.09,0.91,0.08,-5.09,5.20,88.238.505.00,14.43,2.16,0.36,178.819.600.543.42,26.482031644116734,73.88070678999826
31,BRKM5,34.1,27.08,1.77,4.38,0.29,27.31,21.04,14.02,1.18,2.21,0.99,3.69,0.25,1.93,-0.51,1.56,247.82,16.61,45.75,0.07,0.93,1.18,17.25,,63.180.311.54,7.78,19.29,0.00,28.140.202.092.24,58.1095043861157,70.4091037716003
72,EZTC3,18.36,3.12,8.78,0.92,0.80,44.94,33.34,43.98,11.59,9.42,-2.26,-0.18,3.86,2.18,-1.42,6.17,10.53,9.11,7.11,0.87,0.12,0.21,10.85,14.94,30.656.661.75,19.85,2.09,0.57,4.090.508.296.53,30.55235260990551,66.40714929142435
59,DXCO3,10.86,11.79,6.72,1.44,0.54,34.90,16.51,14.01,5.71,8.21,2.47,0.62,0.94,4.63,-0.86,1.44,21.41,7.98,12.75,0.37,0.63,0.57,15.88,120.37,29.832.681.33,7.54,1.62,-1.03,8.317.325.054.43,16.57808794764945,52.65274353268372
18,BBDC4,18.38,3.60,8.50,1.27,0.12,39.92,22.47,17.82,6.74,6.15,,,1.51,2.14,-0.12,5.37,15.00,1.36,,0.09,0.91,0.08,-5.09,5.20,486.188.104.17,14.43,2.16,0.44,178.819.600.543.42,26.482031644116734,44.080694472887586
67,ENGI11,44.01,6.48,6.38,1.79,0.30,23.61,19.39,8.99,2.96,6.44,3.48,2.11,0.57,7.86,-0.40,1.17,28.09,4.69,13.33,0.17,0.81,0.52,17.81,74.52,66.746.392.96,24.56,6.9,0.14,15.954.338.970.08,61.74900808919929,40.30676684662418
168,SLCE3,42.19,5.75,6.12,1.91,0.60,36.69,31.78,17.74,3.42,4.12,0.72,0.40,1.09,2.94,-1.15,1.73,31.18,9.76,25.20,0.31,0.67,0.55,30.68,117.70,66.551.359.54,22.11,6.89,0.05,8.938.742.965.92,58.54573212455371,38.76684551920766
189,UGPA3,13.46,5.82,9.07,1.38,0.41,3.97,1.50,1.00,5.89,11.22,7.74,1.30,0.12,2.04,-0.94,1.98,11.18,3.00,5.86,0.27,0.73,3.01,7.24,-5.60,60.401.974.29,9.72,1.48,0.08,14.932.167.541.20,17.990997748874296,33.66268758450441
177,TAEE11,41.82,9.19,6.50,1.99,0.83,84.47,102.90,66.02,4.17,5.97,1.80,0.86,4.29,7.61,-1.02,2.32,30.61,12.75,20.58,0.42,0.58,0.19,20.07,20.80,67.734.308.33,21.03,6.44,-0.67,14.406.944.290.74,55.20187496815666,31.99874454365532
68,EQTL3,25.67,2.49,7.40,1.80,0.41,29.55,20.94,15.11,5.34,9.61,4.27,1.44,1.12,3.68,-0.57,1.70,24.38,5.57,10.86,0.23,0.74,0.37,24.97,40.66,148.708.167.79,14.24,3.47,0.21,28.979.750.796.95,33.34348512078484,29.892813092266614
183,TIMS3,12.52,3.84,11.25,1.20,0.56,52.43,20.24,13.88,7.72,11.35,3.68,0.57,1.56,-32.66,-0.67,0.90,10.63,4.96,8.96,0.47,0.53,0.36,2.95,29.12,81.294.140.38,10.46,1.11,0.83,30.114.806.711.12,16.16287412560031,29.09643870287788
96,ITUB4,24.54,2.40,8.67,1.57,0.12,61.20,19.70,12.75,5.62,5.18,,,1.11,,-0.12,,18.14,1.34,,0.07,0.92,0.11,2.26,5.09,606.492.301.67,15.59,2.83,0.28,221.913.095.777.19,31.507034928726632,28.39052538193412
40,CIEL3,4.95,3.28,11.14,1.27,0.13,33.93,18.87,10.57,6.23,7.63,1.38,0.28,1.18,1.03,-0.99,1.17,11.45,1.15,8.48,0.10,0.87,0.11,-1.02,-21.29,111.129.098.58,3.89,0.45,0.23,13.502.570.853.17,6.275846556441609,26.784778918012297
165,SBSP3,46.69,2.02,11.47,1.23,0.59,34.63,20.96,14.15,7.74,11.18,3.45,0.55,1.62,17.89,-0.68,1.34,10.75,5.15,6.93,0.48,0.52,0.36,6.69,-1.13,86.829.863.04,37.9,4.07,0.37,31.919.910.882.30,58.912583545453174,26.178161373855602
175,SUZB3,47.17,2.84,5.41,2.66,0.52,48.16,39.87,27.20,3.69,6.86,3.18,2.29,1.47,2.84,-0.73,2.87,49.16,9.64,16.41,0.20,0.80,0.35,32.90,47.54,239.095.100.21,17.68,8.69,-3.20,63.843.262.089.60,58.7952549105793,24.645441828660797
101,KLBN11,19.43,7.13,5.53,2.74,0.49,48.77,36.05,21.44,3.29,6.36,3.09,2.57,1.19,2.77,-0.71,2.45,49.48,8.91,13.75,0.18,0.78,0.42,18.37,9.71,129.334.476.88,7.1,3.51,0.07,21.673.830.252.65,23.67957981046116,21.871229081117647
