TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SMTO3;33,55;6,54;7,85;2,21;0,66;40,95;41,70;24,67;4,65;7,13;2,49;1,18;1,94;4,38;-0,97;1,89;28,10;8,42;14,79;0,30;0,70;0,34;16,99;39,74;41.122.522,22;15,20;4,27;0,15;11.877.080.087,95
SOJA3;11,15;0,36;10,56;2,02;1,31;14,20;11,48;11,19;10,29;10,15;-0,15;-0,03;1,18;3,15;-4,48;2,44;19,15;12,44;15,69;0,65;0,35;1,11;;;1.871.005,59;5,51;1,06;0,12;1.306.114.634,90
SOMA3;11,11;0,82;26,62;1,22;0,85;56,50;6,90;9,48;36,58;40,33;3,75;0,12;2,52;5,43;-1,20;2,14;4,57;3,19;1,30;0,70;0,30;0,34;;;45.128.568,78;9,14;0,42;-0,01;8.718.543.314,03
SQIA3;19,00;0,35;52,63;2,15;1,15;39,63;9,38;7,50;42,11;45,69;3,59;0,18;3,95;-73,29;-1,31;0,88;4,08;2,19;3,27;0,54;0,46;0,29;33,05;30,83;8.036.551,70;8,85;0,36;0,11;1.670.897.468,00
STBP3;7,12;4,20;18,35;2,73;1,29;42,35;26,60;20,19;13,93;12,32;-1,60;-0,31;3,70;7,86;-1,79;2,47;14,90;7,05;12,38;0,47;0,53;0,35;13,09;;19.755.571,96;2,60;0,39;0,02;6.149.205.130,72
SULA11;25,56;0,88;35,92;1,34;0,37;5,36;-2,49;1,47;-21,16;6,74;27,90;-1,76;0,53;0,99;-1,14;2,24;3,72;1,03;-8,10;0,28;0,72;0,70;4,58;-15,30;71.208.487,04;19,14;0,71;-0,41;10.884.588.061,20
SUZB3;49,14;2,71;5,66;2,78;0,55;48,16;39,87;27,20;3,86;7,04;3,18;2,29;1,54;2,97;-0,76;2,87;49,16;9,64;16,41;0,20;0,80;0,35;32,90;47,54;236.213.156,26;17,68;8,69;-3,34;66.892.492.517,76
SYNE3;4,45;195,80;0,54;0,41;0,14;70,26;69,27;54,19;0,42;0,94;0,52;0,51;0,29;1,00;-0,18;4,61;76,79;26,93;36,18;0,35;0,41;0,50;40,50;;1.901.422,85;10,82;8,31;0,00;679.267.780,25
TAEE11;43,23;8,89;6,72;2,06;0,86;84,47;102,90;66,02;4,31;6,11;1,80;0,86;4,43;7,86;-1,06;2,32;30,61;12,75;20,58;0,42;0,58;0,19;20,07;20,80;70.246.630,85;21,03;6,44;-0,70;14.892.687.749,61
TAEE3;14,45;8,86;6,73;2,06;0,86;84,47;102,90;66,02;4,32;6,11;1,80;0,86;4,45;7,88;-1,06;2,32;30,61;12,75;20,58;0,42;0,58;0,19;20,07;20,80;745.664,00;7,01;2,15;-0,70;14.892.687.749,61
