TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PTBL3;12,11;7,54;7,47;3,74;0,76;44,48;16,15;10,64;4,92;6,49;1,57;1,19;0,79;7,13;-1,42;1,30;50,09;10,23;25,45;0,20;0,80;0,96;13,47;154,54;11.256.486,81;3,22;1,61;0,11;1.696.072.238,58
QUAL3;9,15;2,80;9,12;1,86;0,53;79,97;28,94;13,89;4,38;6,87;2,49;1,06;1,27;4,11;-0,80;1,58;20,36;5,76;11,14;0,28;0,71;0,41;1,31;-6,81;27.776.040,81;4,92;1,00;-0,31;2.593.050.787,25
RADL3;23,61;1,55;47,54;7,78;2,41;30,38;5,82;3,11;25,39;26,40;1,01;0,31;1,48;12,01;-5,40;1,57;16,36;5,07;18,28;0,31;0,69;1,63;16,47;12,88;146.176.495,07;3,04;0,50;4,60;39.002.067.300,00
RAIL3;18,23;0,11;-92,21;2,29;0,75;26,47;18,76;-4,50;22,12;29,03;6,91;0,72;4,15;7,89;-0,95;1,85;-2,49;-0,81;4,80;0,33;0,67;0,18;11,53;;259.514.915,33;7,95;-0,20;0,59;33.801.314.759,93
RAIZ4;4,08;1,99;14,56;1,90;0,42;5,33;2,78;1,30;6,81;10,75;3,94;1,10;0,19;6,37;-0,79;1,16;13,03;2,89;10,57;0,22;0,78;2,23;;;66.259.390,63;2,15;0,28;0,40;42.238.238.694,72
RANI3;8,55;7,54;5,89;2,04;0,80;44,91;31,80;21,25;3,94;5,10;1,16;0,60;1,25;3,55;-1,24;2,79;34,64;13,60;19,31;0,39;0,61;0,64;15,63;;9.209.247,56;4,19;1,45;0,06;2.106.372.177,45
RAPT4;9,90;7,32;4,82;1,20;0,28;24,57;11,47;6,58;2,77;5,09;2,42;1,05;0,32;0,82;-0,78;2,08;24,97;5,71;11,97;0,23;0,68;0,87;28,12;;26.362.863,89;8,22;2,05;-0,22;3.142.287.273,47
RDOR3;31,24;1,33;47,68;4,67;1,13;22,15;17,20;6,14;17,01;21,20;4,19;1,15;2,93;3,97;-2,00;2,87;9,79;2,36;7,85;0,24;0,74;0,39;;;150.194.438,22;6,74;0,66;-6,33;63.246.150.696,30
RECV3;28,80;0,57;13,42;2,62;1,35;45,88;40,75;32,37;10,66;9,31;-1,36;-0,33;4,35;17,45;-2,07;1,29;19,50;10,05;15,52;0,52;0,48;0,31;;;66.036.071,37;11,00;2,15;0,02;8.430.644.044,80
RENT3;65,34;1,65;30,66;7,64;2,10;46,27;33,01;18,70;17,36;19,86;2,49;1,10;5,73;19,21;-2,99;1,58;24,91;6,86;11,76;0,28;0,72;0,37;19,68;38,53;398.783.778,85;8,54;2,13;1,18;64.021.081.956,75
ROMI3;15,64;5,29;6,20;1,30;0,62;30,48;13,57;13,88;6,34;8,67;2,33;0,48;0,86;2,12;-1,59;1,94;20,97;10,06;12,61;0,48;0,52;0,72;18,71;;10.018.269,00;12,04;2,52;0,65;1.261.636.790,96
RRRP3;43,02;;-39,56;2,25;1,46;60,31;38,79;-18,10;18,46;17,62;-0,84;-0,10;7,16;-138,46;-1,69;0,93;-5,68;-3,68;11,32;0,65;0,35;0,20;;;176.001.018,59;19,15;-1,09;-7,19;8.715.554.215,56
SANB11;31,23;8,28;7,85;1,09;0,12;30,30;15,31;13,58;6,96;6,96;;;1,07;;-0,12;;13,85;1,54;;0,11;0,89;0,11;0,22;15,28;65.210.506,89;28,75;3,98;-1,01;117.239.532.982,39
SANB3;14,98;8,22;7,53;1,04;0,12;30,30;15,31;13,58;6,68;6,96;;;1,02;;-0,12;;13,85;1,54;;0,11;0,89;0,11;0,22;15,28;2.522.148,48;14,38;1,99;-0,97;117.239.532.982,39
SANB4;16,46;8,22;8,29;1,15;0,13;30,30;15,31;13,58;7,35;6,96;;;1,13;;-0,13;;13,85;1,54;;0,11;0,89;0,11;0,22;15,28;3.069.502,74;14,38;1,99;-1,07;117.239.532.982,39
SAPR11;17,90;6,49;4,81;0,67;0,35;57,75;32,78;20,56;3,02;5,02;2,01;0,44;0,99;5,36;-0,41;1,71;13,83;7,18;10,83;0,52;0,48;0,35;8,40;12,41;19.148.959,26;26,91;3,72;0,55;5.410.115.758,02
SAPR3;3,42;6,29;4,59;0,64;0,33;57,75;32,78;20,56;2,88;5,02;2,01;0,44;0,94;5,12;-0,39;1,71;13,83;7,18;10,83;0,52;0,48;0,35;8,40;12,41;1.879.697,52;5,38;0,74;0,52;5.410.115.758,02
SAPR4;3,66;6,46;4,92;0,68;0,35;57,75;32,78;20,56;3,08;5,02;2,01;0,44;1,01;5,48;-0,42;1,71;13,83;7,18;10,83;0,52;0,48;0,35;8,40;12,41;11.067.466,78;5,38;0,74;0,56;5.410.115.758,02
SBFG3;20,07;0,59;8,74;2,15;0,65;46,34;8,55;9,35;9,56;13,68;4,12;0,93;0,82;2,92;-1,28;1,85;24,60;7,49;5,88;0,30;0,70;0,80;22,57;;31.194.720,15;9,34;2,30;0,00;4.888.974.489,66
SBSP3;58,13;1,62;16,33;1,53;0,73;34,47;20,35;11,96;9,60;13,03;3,43;0,55;1,95;22,27;-0,84;1,34;9,39;4,50;7,44;0,48;0,52;0,38;6,69;-3,75;334.241.245,00;37,90;3,56;-4,63;39.752.933.981,04
SEER3;7,70;1,61;-16,25;0,70;0,30;52,28;6,66;-3,89;9,50;13,60;4,10;0,30;0,63;7,75;-0,37;1,26;-4,33;-1,84;5,19;0,43;0,57;0,47;4,57;;6.452.225,00;10,90;-0,47;0,12;986.007.149,60
SEQL3;5,97;;-14,47;1,53;0,42;18,35;4,49;-3,27;10,54;17,53;6,99;1,01;0,47;9,73;-0,63;1,15;-10,55;-2,92;6,30;0,28;0,72;0,89;;;15.512.135,44;3,91;-0,41;0,02;837.517.485,42
SHUL4;4,60;4,14;7,47;1,69;0,73;22,89;15,16;11,85;5,84;65,41;1,39;0,40;0,88;1,73;-2,11;2,82;22,56;9,78;14,66;0,43;0,57;0,83;24,09;48,33;1.081.569,56;2,73;0,62;0,30;18.026.330.637,56
SIMH3;10,35;6,01;11,48;3,29;0,16;33,36;23,76;4,16;2,01;7,12;5,11;8,37;0,48;0,68;-0,28;2,42;28,66;1,42;8,93;0,05;0,91;0,34;16,28;;22.138.062,89;3,14;0,90;0,25;8.660.753.699,97
SLCE3;44,73;5,42;6,25;1,96;0,66;35,34;30,28;16,97;3,50;4,68;1,18;0,66;1,06;3,27;-1,19;1,83;31,39;10,59;23,58;0,34;0,64;0,62;30,68;119,32;73.873.567,48;22,79;7,15;0,10;9.501.662.853,27
SMTO3;27,67;7,93;6,48;1,82;0,55;40,95;41,70;24,67;3,83;6,32;2,49;1,18;1,60;3,61;-0,80;1,89;28,10;8,42;14,79;0,30;0,70;0,34;16,99;39,74;51.972.368,59;15,20;4,27;0,13;9.795.493.473,43
SOJA3;13,22;0,31;12,89;2,34;0,94;12,34;9,75;9,93;13,13;15,82;2,69;0,48;1,28;4,26;-4,26;1,39;18,12;7,29;10,89;0,40;0,60;0,73;;;3.943.677,19;5,57;1,01;0,22;1.522.824.238,00
SOMA3;14,28;0,64;29,54;1,53;1,09;55,48;7,32;9,13;36,83;40,10;3,28;0,14;2,70;6,40;-1,54;2,39;5,19;3,70;1,76;0,71;0,29;0,40;;;79.705.257,93;9,31;0,48;0,09;11.206.192.486,44
SQIA3;21,40;0,31;65,73;2,41;1,33;39,75;9,80;5,88;39,41;43,15;3,57;0,22;3,86;-24,77;-1,46;0,64;3,67;2,02;3,57;0,55;0,45;0,34;33,05;28,16;11.949.086,56;8,87;0,33;0,33;1.889.872.978,28
STBP3;8,09;8,37;18,53;2,97;1,38;43,48;27,68;21,17;14,17;12,79;-1,38;-0,29;3,92;8,72;-1,86;2,59;16,01;7,46;13,08;0,47;0,53;0,35;13,09;;38.711.264,63;2,73;0,44;0,07;6.986.947.964,54
SULA11;23,19;0,97;24,02;1,20;0,33;4,97;-3,10;1,95;-15,14;6,21;21,35;-1,69;0,47;0,91;-0,96;2,30;4,98;1,39;-10,29;0,28;0,72;0,71;4,58;-9,91;59.091.157,74;19,45;0,97;-0,31;9.909.403.919,57
SUZB3;48,25;2,76;5,55;2,73;0,54;48,16;39,87;27,20;3,79;6,97;3,18;2,29;1,51;2,92;-0,75;2,87;49,16;9,64;16,41;0,20;0,80;0,35;32,90;47,54;221.852.837,26;17,68;8,69;-3,28;65.680.967.928,00
SYNE3;5,24;166,28;0,65;0,52;0,18;69,87;68,45;52,92;0,50;0,88;0,37;0,38;0,34;1,09;-0,23;4,43;79,85;27,77;38,27;0,35;0,40;0,52;40,50;;2.085.105,85;10,11;8,07;0,00;801.383.336,25
TAEE11;40,04;13,30;6,60;1,92;0,75;85,35;101,94;63,10;4,09;6,11;2,02;0,95;4,17;5,15;-0,96;3,09;29,13;11,43;19,17;0,39;0,61;0,18;20,07;19,31;75.376.870,41;20,77;6,05;-0,28;13.759.286.345,58
TAEE3;13,34;13,32;6,59;1,92;0,75;85,35;101,94;63,10;4,08;6,11;2,02;0,95;4,16;5,14;-0,96;3,09;29,13;11,43;19,17;0,39;0,61;0,18;20,07;19,31;1.420.841,63;6,92;2,02;-0,28;13.759.286.345,58
