,incomeBeforeTax,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable
2018-03-31,177588000,124655000,297253000,631501000,318982000,1522454400,318982000,15266000,-274022000,52933000,2189154000,1870172000,1557653000,-141394000,124655000,124655000,88806000,21312864000,7201131000,320274000,28513995000,1522454400,4076035000,248034000,2522681000,2484545000,602415000,5854629000,5329454000,2916014000,17697938000,798996000,12420961000,9983947000,165652000,7112325000,1260828000,2161526000,15912305000,984105000,617465000
2017-12-31,-162828000,-82893000,319822000,788977000,438215000,1514678400,438215000,30940000,-277717000,-79935000,2297896000,1859681000,1508919000,-601043000,-82893000,-82893000,89949000,23315390000,7234151000,282355000,30549541000,1514678400,2516753000,277691000,2569026000,2488546000,2148372000,5864835000,7028422000,3747333000,19549411000,2354501000,12619495000,11803589000,171673000,7144202000,1243173000,2321142000,17079511000,933161000,713612000
2017-09-30,742014000,390620000,296246000,572097000,261511000,1506729600,261511000,14340000,-281622000,351394000,2224595000,1963084000,1652498000,480503000,390620000,390620000,91715000,22664429000,7497398000,260431000,30161827000,1506729600,2384484000,276449000,2928366000,2667979000,2184548000,6007196000,7068770000,3488779000,18847942000,2390588000,12611085000,11277315000,174516000,7405683000,632122000,2393445000,16507671000,906529000,578645000
2017-06-30,-600162000,-377583000,288734000,245969000,-31634000,1498780800,-31634000,-11131000,-298314000,-222579000,1984195000,2015829000,1738226000,-568528000,-377583000,-377583000,93217000,22249539000,7128936000,356114000,29378475000,1498780800,2384484000,230941000,2558404000,2329379000,2186048000,6111326000,6339737000,3557326000,18702449000,2392088000,12747566000,10257144000,169222000,7035719000,614562000,2139318000,16362834000,932586000,615420000
