,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable
2022-03-31,2430097000,3217535000,1206402000,587326000,4451648000,3639271000,1648684800,3639271000,225051000,-677224000,1066154000,11769866000,8130595000,7318218000,-1209174000,1363943000,1206402000,3831538000,50047084000,21883329000,3217535000,7755143000,75147948000,1648684800,10240000000,359923000,12236220000,3898960000,3729236000,-592891000,10238891000,13300704000,19261034000,3809566000,4488689000,722264000,21513796000,31829453000,4005034000,14322555000,5485044000,26395377000,10235276000,5946450000
2021-12-31,2114757000,3059391000,903305000,814295000,3756163000,2668893000,1640908800,2668893000,272975000,-546433000,1053761000,10360965000,7692072000,6604802000,-554136000,1060996000,903305000,3927814000,56004714000,20314998000,3059391000,11617068000,79379103000,1640908800,10240000000,381970000,11029818000,3949931000,3729236000,-954820000,11059066000,16646480000,24541616000,5072092000,5486859000,-17890000,21531134000,34972354000,4159499000,12657948000,4379946000,27020663000,10943835000,6475441000
2021-09-30,2735937000,3107280000,1149537000,762468000,4258415000,3598541000,1632960000,3598541000,-102594000,-706069000,1411285000,10246173000,6647632000,5987758000,-862604000,1324652000,1149537000,3958595000,52769906000,20194815000,3107280000,10684512000,76072001000,1632960000,6040000000,836946000,15487937000,4336646000,3713333000,-1333122000,9810245000,15255105000,22192748000,4019286000,3938516000,-1274858000,20950180000,33609000000,4030648000,12522887000,4602020000,25744378000,10038794000,6596035000
2021-06-30,6769531000,3379422000,4965771000,825634000,8250141000,6925428000,1625011200,6925428000,499079000,-498707000,1256871000,15391573000,8466145000,7141432000,-155897000,5512660000,4965771000,3645201000,54344008000,21716693000,3379422000,6962782000,79440123000,1625011200,6040000000,505560000,16088400000,4439515000,3606156000,-411707000,9579431000,21756753000,18963270000,4253337000,4093782000,-353443000,19905158000,38801277000,3902900000,14465336000,6123662000,30504498000,7050184000,7024478000
