,incomeBeforeTax,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable
2022-03-31,542000000,325000000,760000000,2213000000,536000000,1648684800,536000000,925000000,-211000000,217000000,38381000000,37845000000,36168000000,6000000,325000000,325000000,609000000,24270000000,12582000000,2856000000,36852000000,1648684800,6353000000,1369000000,7905000000,3064000000,29000000,-1676000000,5686000000,4309000000,8829000000,1542000000,1404000000,-724000000,6740000000,18964000000,4824000000,11944000000,6986000000,11678000000,6176000000,3926000000
2021-12-31,1362000000,1025000000,1047000000,2172000000,1393000000,1640908800,1393000000,-41000000,-155000000,337000000,39271000000,37878000000,37099000000,-31000000,1025000000,1025000000,424000000,21576000000,12308000000,1483000000,33884000000,1640908800,6353000000,899000000,7580000000,1861000000,29000000,-1625000000,6282000000,3625000000,7339000000,1596000000,1339000000,-707000000,6762000000,17760000000,2627000000,11855000000,7431000000,11670000000,5674000000,3310000000
2021-09-30,451000000,598000000,812000000,1533000000,489000000,1632960000,489000000,168000000,-98000000,-147000000,35694000000,35205000000,34161000000,-38000000,598000000,598000000,556000000,18275000000,11287000000,1174000000,29562000000,1632960000,6353000000,987000000,6830000000,2734000000,29000000,-1896000000,6480000000,2030000000,6095000000,1947000000,1215000000,-1192000000,6691000000,15205000000,601000000,10702000000,7282000000,8715000000,4814000000,3020000000
2021-06-30,602000000,382000000,765000000,1273000000,588000000,1625011200,588000000,-70000000,-70000000,220000000,29023000000,28435000000,27750000000,14000000,382000000,382000000,498000000,16789000000,11775000000,1933000000,28564000000,1625011200,6353000000,806000000,6621000000,2879000000,29000000,-1199000000,6363000000,2311000000,5570000000,1935000000,657000000,-1199000000,6693000000,14457000000,524000000,11248000000,6603000000,7642000000,4637000000,2394000000
