,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable
2022-03-31,1255045000,1750323000,108762000,1132440000,3482105000,2327584000,1648684800,2327584000,22081000,-547818000,762642000,22340812000,20013228000,18858707000,-1072539000,492403000,108762000,5034958000,43451710000,3359717000,1750323000,4057520000,48561750000,1648684800,8204391000,801032000,2871645000,1085747000,1603877000,-7716319000,4299771000,4959478000,16386124000,578319000,7321161000,-6788174000,9159635000,21180360000,7283149000,-3279118000,6105469000,5170527000,25565453000,4037162000,3924174000
2021-12-31,1895054000,1654803000,649746000,1276392000,5026841000,3661066000,1640908800,3661066000,89383000,-497079000,573533000,23941175000,20280109000,18914334000,-1766012000,1321521000,649746000,6038516000,42431535000,3916920000,1654803000,3708157000,48003258000,1640908800,8204391000,761155000,2762558000,1217895000,1892630000,-7050029000,4441181000,1759482000,17047662000,885048000,6977250000,-6199154000,9792535000,19514305000,6324091000,-4014226000,6337834000,6195722000,23684548000,4351282000,3826714000
2021-09-30,2995853000,1806895000,1675243000,1067143000,5415148000,4271895000,1632960000,4271895000,76110000,-440000000,553730000,23637794000,19365899000,18222646000,-1276042000,2442123000,1675243000,6043508000,40435981000,4866932000,1806895000,3823644000,47109808000,1632960000,8204391000,362726000,2942597000,1201118000,1844832000,-6280056000,4580636000,2979221000,16545159000,1012034000,7396894000,-5937056000,9076898000,25488857000,75077000,-3021408000,12557550000,5287198000,22212904000,4224106000,3097978000
2021-06-30,3503087000,1683249000,1737639000,964597000,4508734000,3455496000,1625011200,3455496000,88641000,-1008992000,1126686000,20573673000,17118177000,16064939000,47591000,2376401000,1737639000,5720483000,37837694000,4185629000,1683249000,3808029000,43706572000,1625011200,8204391000,339552000,2225418000,1104412000,1695804000,-6244180000,5769549000,1611197000,16650372000,1326172000,8509557000,-5900082000,8338759000,22111036000,70941000,-3230658000,11875123000,4399810000,19611978000,3810767000,2784709000
