,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable
2022-06-30,1116998000.0,386807000.0,912965000.0,722928000.0,1968006000.0,1121441000.0,1656547200.0,1121441000.0,125421000.0,-124534000.0,190878000.0,7185787000.0,6064346000.0,5217781000.0,-4443000.0,926120000.0,912965000.0,210823000.0,12081673000.0,13413944000.0,386807000.0,4281828000.0,25882424000.0,1656547200.0,6504517000.0,829859000.0,4922508000.0,1061582000.0,1301709000.0,1986919000.0,1032679000.0,568121000.0,10410529000.0,402024000.0,2662236000.0,2006161000.0,5758142000.0,17566996000.0,12075000.0,11901412000.0,502166000.0,6005556000.0,141331000.0,7659131000.0,2245478000.0
2022-03-31,1152852000.0,369755000.0,943900000.0,693917000.0,1894836000.0,1072797000.0,1648684800.0,1072797000.0,124221000.0,-10591000.0,199370000.0,6828106000.0,5755309000.0,4933270000.0,80055000.0,953482000.0,943900000.0,175424000.0,11381918000.0,12417577000.0,369755000.0,3651178000.0,24169250000.0,1648684800.0,5504517000.0,902443000.0,5280854000.0,1219462000.0,1288464000.0,1632206000.0,1029812000.0,849091000.0,9300954000.0,370093000.0,2420527000.0,1649318000.0,5239800000.0,16424181000.0,11569000.0,10953689000.0,514897000.0,5238612000.0,612271000.0,7018367000.0,2171283000.0
2021-12-31,1002675000.0,405701000.0,874055000.0,699399000.0,1807897000.0,985148000.0,1640908800.0,985148000.0,123350000.0,-223883000.0,108749000.0,6540010000.0,5554862000.0,4732113000.0,17527000.0,893926000.0,874055000.0,1550388000.0,9922115000.0,13604971000.0,405701000.0,3909772000.0,23932787000.0,1640908800.0,13604971000.0,1914370000.0,,1007915000.0,,,930416000.0,,7927884000.0,421900000.0,,,5504772000.0,15945946000.0,1265000.0,12054583000.0,,4317393000.0,737071000.0,6497048000.0,2120338000.0
2021-09-30,1017766000.0,389367000.0,812925000.0,663600000.0,1786814000.0,1014041000.0,1632960000.0,1014041000.0,109173000.0,-158584000.0,185534000.0,6198243000.0,5184202000.0,4411429000.0,3725000.0,832232000.0,812925000.0,268185000.0,9360529000.0,12750405000.0,389367000.0,3416633000.0,22500301000.0,1632960000.0,5504517000.0,942582000.0,4599894000.0,935468000.0,1349563000.0,2645994000.0,973648000.0,1050993000.0,7533439000.0,409256000.0,998549000.0,2657210000.0,5164500000.0,14743151000.0,1254000.0,11132657000.0,545946000.0,5239124000.0,607580000.0,5619084000.0,1968897000.0
