,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable
2022-03-31,624947000,14910245000,510190000,562215000,1715651000,1155829000,1648684800,1155829000,-2393000,-1374980000,49111000,7904887000,6749058000,6189236000,-530882000,575836000,510190000,19308004000,65449183000,15647431000,14910245000,4067321000,96006859000,1648684800,6365853000,1145050000,11166182000,13522547000,1488066000,-1884604000,13643356000,12083132000,12826809000,3017882000,3694560000,-1815381000,25298829000,24194616000,12073988000,-5148639000,4341863000,5575911000,36234054000,1048660000,3564995000
2021-12-31,333964000,14129085000,1277371000,854112000,1441962000,445472000,1640908800,445472000,142378000,-1450631000,-755411000,6749879000,6304407000,5307917000,-111508000,1089375000,1277371000,16648681000,68972001000,14740937000,14129085000,3739395000,97842023000,1640908800,6365853000,1033137000,10655992000,11735438000,1132817000,-2280908000,16119754000,16174130000,12957036000,3051628000,4092436000,-2211844000,24595820000,27293183000,12051768000,-3040561000,466000,4563450000,41417669000,1149304000,3481242000
2021-09-30,3440716000,12073901000,3264681000,728261000,1933385000,1258925000,1632960000,1258925000,-53801000,-1063410000,82696000,6890471000,5631546000,4957086000,2181791000,3358020000,3264681000,16601649000,64640720000,14162111000,12073901000,2544557000,90876732000,1632960000,6365853000,1263734000,10832884000,10854055000,1124484000,-3036626000,11860991000,15628197000,9222328000,2491149000,2045514000,-2959263000,23757159000,26937492000,10594957000,-3564022000,3982536000,4847699000,41905160000,1215326000,3303596000
2021-06-30,1458904000,11786988000,942357000,665387000,1617822000,1222944000,1625011200,1222944000,-270509000,-663128000,263786000,6551001000,5328057000,4933179000,235960000,1195118000,942357000,16483636000,56870644000,10315923000,11786988000,3161370000,78973555000,1625011200,6365853000,1252883000,7568202000,10904552000,1084215000,-3618132000,11297038000,8567450000,9820134000,2354182000,2188221000,-3526974000,23281701000,19127182000,7699783000,-7251928000,3656375000,4572908000,33580446000,1077566000,3308876000
