,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable
2021-12-31,1006648000,402319000,850463000,3518084000,4904876000,1389642000,1640908800,1389642000,273000,-912979000,188034000,109732842000,108343200000,104827966000,-382994000,65264000,818614000,850463000,2177334000,596481000,28541117000,10066921000,402319000,3215032000,39010357000,1640908800,5171752000,11555969000,4866409000,1226282000,818096000,-567721000,3361271000,2280074000,12640230000,571755000,2814872000,-79296000,7171605000,25024181000,457870000,7071491000,1804122000,5367220000,13515126000,3918772000,5789954000
2020-12-31,951581000,376519000,893383000,2681974000,4001609000,1323944000,1609372800,1323944000,-19590000,-784839000,304517000,74058056000,72734112000,70056447000,-372363000,280633000,647064000,893383000,2078270000,594049000,26339897000,9533746000,376519000,902335000,36250162000,1609372800,5171752000,478908000,4463666000,1401974000,931808000,-695721000,4484510000,2661494000,9240841000,974711000,2061174000,-206653000,10121614000,17489071000,1144889000,6523668000,5033258000,5337093000,14123983000,3846196000,4040652000
2019-12-31,781553000,376920000,373526000,4336637000,6110866000,1848174000,1577750400,1848174000,-103948000,-1028240000,378609000,89297975000,87449801000,83187109000,-1066621000,280633000,402944000,373526000,1831320000,542400000,21360297000,9458255000,376920000,466652000,31195472000,1577750400,5171752000,465454000,4256884000,1503745000,931808000,-512781000,3144924000,2115379000,5195069000,653694000,1117441000,-27398000,9541240000,15058055000,688125000,6695127000,3090212000,5560095000,13279206000,3715560000,2700071000
2018-12-31,1771039000,351924000,1150421000,4227456000,6160615000,2004515000,1546214400,2004515000,-140606000,-884705000,638719000,90697983000,88693468000,84537368000,-233476000,280633000,1132320000,1150421000,1878271000,542400000,20699366000,9448105000,351924000,589272000,30499395000,1546214400,5171752000,484473000,4208447000,1426345000,1525088000,-474494000,3288033000,3938951000,6336798000,514187000,2257961000,10889000,7264860000,16211707000,331436000,6044746000,2853106000,5393075000,12893006000,3354532000,2731677000
