,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable
2021-12-31,1989065000.0,1330000.0,1725407000.0,1228893000.0,2775041000.0,1524856000.0,1640908800.0,1524856000.0,11534000.0,-185504000.0,263383000.0,8170241000.0,6645385000.0,5395200000.0,464209000.0,1725682000.0,1725407000.0,426234000.0,218731000.0,7685420000.0,5733581000.0,1330000.0,303929000.0,13420331000.0,1640908800.0,2370189000.0,71621000.0,2428901000.0,921618000.0,324156000.0,715760000.0,1389828000.0,1421302000.0,3371691000.0,294868000.0,848798000.0,818873000.0,5264082000.0,4661437000.0,1354594000.0,4983191000.0,1735291000.0,3019092000.0,1433223000.0,1702631000.0
2020-12-31,534745000.0,1512000.0,453812000.0,1034681000.0,1736097000.0,664029000.0,1609372800.0,664029000.0,31726000.0,-147212000.0,80762000.0,5879616000.0,5215587000.0,4143519000.0,-129284000.0,453983000.0,453812000.0,406628000.0,218731000.0,6310156000.0,5186852000.0,1512000.0,302179000.0,11498520000.0,1609372800.0,1970189000.0,53162000.0,2370843000.0,928093000.0,324156000.0,627089000.0,590299000.0,1728413000.0,2411801000.0,285618000.0,176296000.0,640833000.0,4993978000.0,4220022000.0,963437000.0,4456068000.0,1513704000.0,2630754000.0,924743000.0,1120490000.0
2019-12-31,479011000.0,1305000.0,405564000.0,948022000.0,1168099000.0,513396000.0,1577750400.0,513396000.0,-293319000.0,-263521000.0,73284000.0,5011706000.0,4498310000.0,3843607000.0,-34385000.0,405727000.0,405564000.0,401113000.0,,5782520000.0,4930863000.0,1305000.0,347285000.0,10714688000.0,1577750400.0,1970189000.0,47713000.0,2166721000.0,1004618000.0,318726000.0,793953000.0,687792000.0,1243223000.0,2149913000.0,331570000.0,871865000.0,817004000.0,5666000000.0,3514047000.0,127010000.0,4211024000.0,1369818000.0,2076675000.0,853293000.0,625279000.0
2018-12-31,582359000.0,1164000.0,431573000.0,896180000.0,1150379000.0,228006000.0,1546214400.0,228006000.0,23856000.0,-284965000.0,150563000.0,4949361000.0,4721355000.0,3798982000.0,354353000.0,431796000.0,431573000.0,266186000.0,218731000.0,4846991000.0,4633703000.0,1164000.0,695802000.0,9481858000.0,1546214400.0,1970189000.0,19093000.0,1887958000.0,607386000.0,155726000.0,556825000.0,553774000.0,1162241000.0,2072546000.0,230528000.0,704271000.0,582856000.0,4803372000.0,3651832000.0,50968000.0,4211791000.0,1673199000.0,2158113000.0,797299000.0,456722000.0
