,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable
2021-12-31,1105935000.0,603872000.0,914356000.0,849299000.0,1725506000.0,781050000.0,1640908800.0,781050000.0,95157000.0,-148512000.0,88620000.0,4889773000.0,4108723000.0,3164267000.0,324885000.0,1017315000.0,914356000.0,12958000.0,7039246000.0,6198052000.0,603872000.0,1676000.0,1531073000.0,13841170000.0,1640908800.0,3395744000.0,194715000.0,3071065000.0,1555177000.0,21079000.0,-268757000.0,2857860000.0,205944000.0,2562219000.0,1177000.0,703831000.0,-76533000.0,124188000.0,7960916000.0,2864169000.0,6164015000.0,2298888000.0,1740425000.0,2921850000.0,3498628000.0,219163000.0
2020-12-31,2289378000.0,291895000.0,1760257000.0,716995000.0,1237749000.0,480228000.0,1609372800.0,480228000.0,40526000.0,-80112000.0,459882000.0,3775232000.0,3295004000.0,2537483000.0,1809150000.0,1829496000.0,1760257000.0,13455000.0,5637298000.0,5504733000.0,291895000.0,4435000.0,1341864000.0,11433926000.0,1609372800.0,3395744000.0,131925000.0,2373869000.0,1391329000.0,3072000.0,-264880000.0,2659869000.0,200083000.0,2106360000.0,283000.0,563396000.0,-72656000.0,73436000.0,6058633000.0,2625461000.0,5488206000.0,1641817000.0,1369643000.0,2139609000.0,2700146000.0,151524000.0
2019-12-31,620489000.0,413067000.0,415841000.0,775360000.0,1215713000.0,399568000.0,1577750400.0,399568000.0,40785000.0,-124035000.0,86173000.0,3930822000.0,3531254000.0,2715109000.0,220921000.0,534316000.0,415841000.0,14527000.0,4812335000.0,4762376000.0,413067000.0,9678000.0,1451630000.0,9987779000.0,1577750400.0,3395744000.0,68525000.0,1631673000.0,670722000.0,3417000.0,-265041000.0,3410886000.0,212437000.0,2190044000.0,402000.0,552707000.0,-71838000.0,92389000.0,5353358000.0,1113202000.0,4744432000.0,1152619000.0,1269218000.0,1951569000.0,2637665000.0,134825000.0
2018-12-31,74560000.0,389263000.0,-84363000.0,702793000.0,834927000.0,-71692000.0,1546214400.0,-71692000.0,203826000.0,-126410000.0,68532000.0,3146157000.0,3217849000.0,2311230000.0,146252000.0,6028000.0,-84363000.0,4363000.0,4291457000.0,5148548000.0,389263000.0,18293000.0,1219099000.0,9829268000.0,1546214400.0,3395744000.0,61404000.0,2014594000.0,539520000.0,4421000.0,-261790000.0,2811762000.0,173830000.0,1679935000.0,1231000.0,299486000.0,-65192000.0,68899000.0,5919562000.0,1020261000.0,5139764000.0,,1351108000.0,2072002000.0,3093608000.0,121887000.0
