,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable
2021-12-31,159794000,223142000,150538000,511698000,2087592000,1575774000,1640908800,1575774000,120000,-1995084000,4053000,7439632000,5863858000,5352040000,-1415980000,155741000,150538000,7031194000,33155991000,14795421000,223142000,1126406000,48174554000,1640908800,12547842000,111759000,7527000,6034881000,100451000,2240052000,3218310000,9448193000,4440992000,1662572000,1799423000,2256047000,23759503000,12381244000,1683852000,7663776000,8939000,1117659000,19956074000,228923000,816270000
2020-12-31,474664000,312721000,297163000,437645000,2244652000,1845051000,1609372800,1845051000,-38044000,-1625970000,169989000,6966159000,5121108000,4721507000,-1370387000,304675000,297163000,7150981000,30612044000,14983606000,312721000,720084000,45908371000,1609372800,16054906000,147262000,-3507064000,5946453000,100451000,2435764000,2619636000,7778606000,4856159000,1270621000,1620335000,2445769000,21469649000,11354756000,3212898000,7732174000,124407000,956507000,17407815000,249318000,902474000
2019-12-31,915119000,270011000,778237000,363605000,2479059000,2159981000,1577750400,2159981000,-44527000,-1500171000,129248000,7087840000,4927859000,4608781000,-1244862000,785871000,778237000,7274582000,24218377000,8344276000,270011000,534478000,32832664000,1577750400,9654897000,102962000,-3804257000,6531057000,100451000,2493636000,2650992000,1963014000,3037052000,1174484000,1064846000,2493636000,16181120000,4949483000,1676036000,969243000,395873000,883198000,10655373000,248456000,634298000
2018-12-31,541408000,266423000,264357000,313436000,2119302000,1857719000,1546214400,1857719000,-51853000,-1098712000,268441000,6584936000,4727217000,4465634000,-1316311000,272967000,264357000,7393431000,18839490000,8028200000,266423000,569879000,27134113000,1546214400,9654897000,137005000,-4107649000,6263836000,100451000,2480952000,2712962000,141527000,2473318000,1046195000,924904000,2480952000,11916818000,4073989000,936462000,534318000,58038000,688997000,9669477000,263386000,581245000
