,incomeBeforeTax,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable
2021-12-31,-1560000000.0,-297000000.0,8198000000.0,9327000000.0,361000000.0,1640908800.0,361000000.0,-30000000.0,-1020000000.0,-1263000000.0,30899000000.0,30538000000.0,21572000000.0,-1921000000.0,-297000000.0,-297000000.0,1175000000.0,1810000000.0,29703000000.0,5637000000.0,2293000000.0,35340000000.0,1640908800.0,5044000000.0,360000000.0,-297000000.0,3514000000.0,968000000.0,-920000000.0,9489000000.0,1781000000.0,18677000000.0,2841000000.0,5283000000.0,-910000000.0,5019000000.0,18464000000.0,225000000.0,3494000000.0,8980000000.0,4139000000.0,7152000000.0,7777000000.0
2020-12-31,923000000.0,1004000000.0,6783000000.0,9466000000.0,2044000000.0,1609372800.0,2044000000.0,-92000000.0,-805000000.0,-81000000.0,28901000000.0,26857000000.0,19435000000.0,-1121000000.0,1004000000.0,1004000000.0,817000000.0,2227000000.0,27077000000.0,5979000000.0,2224000000.0,33056000000.0,1609372800.0,5039000000.0,297000000.0,-416000000.0,2873000000.0,836000000.0,-871000000.0,7457000000.0,2984000000.0,18497000000.0,1607000000.0,6687000000.0,-870000000.0,4492000000.0,19248000000.0,206000000.0,4326000000.0,9510000000.0,2409000000.0,6176000000.0,7825000000.0
2019-12-31,-2004000000.0,-1433000000.0,6495000000.0,7343000000.0,158000000.0,1577750400.0,158000000.0,-11000000.0,-725000000.0,-571000000.0,25655000000.0,25497000000.0,18312000000.0,-2162000000.0,-1433000000.0,-1433000000.0,617000000.0,,23846000000.0,578000000.0,1538000000.0,24424000000.0,1577750400.0,2903000000.0,168000000.0,-1420000000.0,3182000000.0,628000000.0,-905000000.0,5530000000.0,1364000000.0,15733000000.0,1467000000.0,4944000000.0,-904000000.0,5009000000.0,12452000000.0,188000000.0,-667000000.0,6301000000.0,957000000.0,4565000000.0,7397000000.0
2018-12-31,-424000000.0,-291000000.0,6192000000.0,8027000000.0,1125000000.0,1546214400.0,1125000000.0,98000000.0,-678000000.0,-133000000.0,26928000000.0,25803000000.0,18901000000.0,-1549000000.0,-291000000.0,-291000000.0,744000000.0,,22677000000.0,1999000000.0,1497000000.0,24676000000.0,1546214400.0,2899000000.0,67000000.0,13000000.0,2632000000.0,629000000.0,-913000000.0,4798000000.0,3711000000.0,15325000000.0,888000000.0,3357000000.0,-912000000.0,4845000000.0,13552000000.0,108000000.0,626000000.0,4960000000.0,968000000.0,4781000000.0,8806000000.0
