,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable
2021-12-31,20272568000,211367000,15494111000,2105951000,20817360000,20020238000,1640908800,20020238000,-1308472000,-1059841000,4713630000,78345081000,58324843000,57527721000,252330000,15558938000,15494111000,509760000,30998964000,42604282000,211367000,2806944000,73814613000,1640908800,19249181000,682439000,17838494000,4021023000,12427527000,5516607000,5200878000,4160654000,14036814000,2929308000,1766493000,5669016000,19603530000,32640477000,3432441000,29666995000,8309684000,12297848000,16861488000,7209225000
2020-12-31,3495678000,224939000,2365763000,1530385000,5930559000,5453741000,1609372800,5453741000,-1117699000,-1022460000,1107624000,43814661000,38360920000,37884102000,-1958063000,2388054000,2365763000,622578000,32037799000,30860271000,224939000,3789084000,63123009000,1609372800,19249181000,591523000,7292332000,3824185000,12103519000,4318758000,6647604000,4617204000,11482143000,3393354000,1431506000,4548067000,18068226000,23409453000,2271629000,18134174000,5990166000,16106700000,9169417000,4711908000
2019-12-31,1674720000,217426000,1203736000,1430456000,4203284000,3200984000,1577750400,3200984000,-449200000,-938120000,457833000,39644010000,36443026000,35440726000,-1526264000,1216887000,1203736000,673262000,26829843000,26955701000,217426000,1299011000,54002970000,1577750400,19249181000,618769000,5644706000,4315932000,9469311000,2061814000,7133478000,2641652000,7424537000,4071219000,1562226000,2304356000,16678807000,18235713000,1812399000,16813128000,3659760000,14487641000,7659737000,3386675000
2018-12-31,2157431000,207967000,2303868000,1652880000,6149378000,4451592000,1546214400,4451592000,34992000,-1177686000,-168951000,46159478000,41707886000,40010100000,-2294161000,2326382000,2303868000,836096000,25342458000,25730604000,207967000,1343513000,51281029000,1546214400,19249181000,780885000,4806089000,3755079000,9112390000,1675334000,6912472000,2890144000,8504253000,3874054000,1824938000,1955760000,15546481000,17503082000,1370508000,15782118000,4174645000,13083126000,9167689000,4335054000
