,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable
2021-12-31,995762000,81896000,1003464000,258724000,1397326000,1106531000,1640908800,1106531000,30043000,-187738000,14543000,2010801000,904270000,613475000,-110769000,981219000,1003464000,75409000,3865074000,4464564000,81896000,483523000,8411534000,1640908800,1865950000,2685486000,1065950000,38785000,-86872000,1342475000,421743000,843724000,258627000,-30234000,4902295000,1586009000,466561000,4350370000,888411000,1718365000,275855000,101574000
2020-12-31,751064000,77929000,643709000,168255000,811471000,628231000,1609372800,628231000,11228000,-95495000,112210000,1171592000,543361000,360121000,122833000,638854000,643709000,70501000,3455364000,3748746000,77929000,461717000,7282039000,1609372800,1860183000,1935432000,1075344000,38138000,-46869000,923352000,480160000,1078153000,384142000,-26857000,4383350000,1298481000,568217000,3640107000,571643000,1183044000,246678000,232294000
2019-12-31,472589000,42659000,322231000,143012000,310043000,130383000,1577750400,130383000,34419000,-113400000,145911000,636429000,506046000,326386000,342206000,326678000,322231000,61108000,2781146000,3014129000,42659000,184432000,5837934000,1577750400,1436138000,1599399000,1232747000,38138000,-21408000,685761000,286335000,429941000,179638000,-21408000,4116343000,679550000,257034000,2914883000,239456000,1026708000,153759000,65871000
2018-12-31,211103000,39409000,182328000,127899000,240531000,120711000,1546214400,120711000,-10504000,-114206000,15664000,482457000,361746000,241926000,90392000,195439000,182328000,60664000,2547813000,2227839000,39409000,507754000,4815061000,1546214400,916463000,1291755000,809710000,38138000,19621000,730417000,42551000,680169000,134771000,20004000,3328115000,657085000,642000,2129037000,308574000,1057934000,112914000,37644000
