,incomeBeforeTax,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable
2021-12-31,94861000.0,75036000.0,805296000.0,1012866000.0,156269000.0,1640908800.0,156269000.0,38199000.0,-82014000.0,19825000.0,2097525000.0,1941256000.0,1084659000.0,-61408000.0,75036000.0,75036000.0,456930000.0,1688091000.0,1759256000.0,49053000.0,3447347000.0,1640908800.0,1578065000.0,14532000.0,102005000.0,93290000.0,167243000.0,79186000.0,72460000.0,673672000.0,699604000.0,39287000.0,128268000.0,79186000.0,1388010000.0,1362704000.0,1135083000.0,339976000.0,97813000.0,334524000.0,323855000.0
2020-12-31,69949000.0,58387000.0,560436000.0,693507000.0,125892000.0,1609372800.0,125892000.0,6896000.0,-63543000.0,11562000.0,1436756000.0,1310864000.0,743249000.0,-55943000.0,58387000.0,58387000.0,56902000.0,1378129000.0,514759000.0,27646000.0,1892888000.0,1609372800.0,387250000.0,43761000.0,46291000.0,1902000.0,,81218000.0,32127000.0,443757000.0,654287000.0,23703000.0,214148000.0,81218000.0,917584000.0,886275000.0,457857000.0,213056000.0,222403000.0,185701000.0,190568000.0
2019-12-31,36338000.0,23576000.0,376142000.0,476328000.0,86859000.0,1577750400.0,86859000.0,12974000.0,-56540000.0,12762000.0,986076000.0,899217000.0,509748000.0,-50521000.0,23576000.0,23576000.0,41099000.0,1066370000.0,176278000.0,28696000.0,1242648000.0,1577750400.0,50515000.0,,19649000.0,2212000.0,,106114000.0,22425000.0,169277000.0,380950000.0,14770000.0,111102000.0,106114000.0,738207000.0,440917000.0,135179000.0,138983000.0,287383000.0,132657000.0,119722000.0
2018-12-31,46827000.0,30897000.0,295525000.0,351868000.0,53822000.0,1546214400.0,53822000.0,2125000.0,-14691000.0,15930000.0,767907000.0,714085000.0,416039000.0,-6995000.0,30897000.0,30897000.0,15652000.0,415243000.0,181771000.0,25257000.0,597014000.0,1546214400.0,50515000.0,,25495000.0,2042000.0,,105761000.0,14545000.0,160829000.0,212605000.0,12606000.0,56697000.0,105761000.0,215111000.0,351706000.0,166119000.0,93388000.0,200596000.0,97489000.0,96545000.0
