,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable
2021-12-31,1405319000.0,-3431000.0,1173300000.0,385996000.0,1943021000.0,1402123000.0,1640908800.0,1402123000.0,1019000.0,-228362000.0,232027000.0,5124441000.0,3722318000.0,3181420000.0,3196000.0,1173292000.0,1173300000.0,1232557000.0,9247932000.0,9000054000.0,-3431000.0,168167000.0,18244555000.0,1640908800.0,8894086000.0,65291000.0,151997000.0,317778000.0,81522000.0,-46029000.0,1004220000.0,992290000.0,1436538000.0,767633000.0,362641000.0,38613000.0,12727223000.0,3189501000.0,9532000.0,7685975000.0,685447000.0,883485000.0,7384809000.0,520033000.0,619019000.0
2020-12-31,817120000.0,-3423000.0,1007606000.0,254234000.0,1498217000.0,1049997000.0,1609372800.0,1049997000.0,1896000.0,-332484000.0,-189416000.0,3243309000.0,2193312000.0,1745092000.0,-232877000.0,1006536000.0,1007606000.0,1265048000.0,8287356000.0,7934163000.0,-3423000.0,110880000.0,16218096000.0,1609372800.0,8848409000.0,31894000.0,-950439000.0,250226000.0,73497000.0,36193000.0,992841000.0,1384933000.0,1065939000.0,865059000.0,137713000.0,36193000.0,10946675000.0,2930402000.0,9633000.0,6595618000.0,511317000.0,793832000.0,6904952000.0,179015000.0,504911000.0
2019-12-31,556459000.0,-2353000.0,600798000.0,203421000.0,1241433000.0,847809000.0,1577750400.0,847809000.0,21597000.0,-491254000.0,-42621000.0,3137369000.0,2289560000.0,1895936000.0,-291350000.0,599080000.0,600798000.0,1381806000.0,6963063000.0,6902434000.0,-2353000.0,187889000.0,13863144000.0,1577750400.0,8834907000.0,112763000.0,-1957654000.0,266857000.0,,25181000.0,844554000.0,1517583000.0,1352928000.0,660077000.0,283498000.0,25181000.0,8805604000.0,2825850000.0,5330000.0,5520628000.0,270652000.0,813508000.0,5273044000.0,102211000.0,610077000.0
2018-12-31,613758000.0,-14158000.0,887873000.0,328161000.0,1255104000.0,937995000.0,1546214400.0,937995000.0,-11052000.0,-507660000.0,-274465000.0,3129107000.0,2191112000.0,1874003000.0,-324237000.0,888223000.0,887873000.0,1440204000.0,6015802000.0,6298038000.0,-14158000.0,142467000.0,12299682000.0,1546214400.0,8822057000.0,30960000.0,-2558452000.0,170657000.0,,34433000.0,779066000.0,1152266000.0,978764000.0,572461000.0,297363000.0,34433000.0,7929919000.0,2146628000.0,3865000.0,4857834000.0,207017000.0,496148000.0,4866381000.0,225730000.0,360288000.0
