,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable
2021-12-31,27191452000,3677428000,20486561000,30118515000,66184985000,36304466000,1640908800,36304466000,-237996000,-5264596000,6661799000,350695561000,314391095000,284510576000,-9113014000,20529653000,20486561000,11783916000,211879000,159312396000,44119292000,3677428000,5659677000,207109116000,1640908800,23576206000,3641624000,13485593000,12177897000,32564548000,6845614000,11471264000,23239150000,59812238000,1730122000,11468412000,9883452000,67120236000,83925962000,243190000,-229172000,23082331000,80603870000,33962857000,30217201000
2020-12-31,8264192000,3424867000,4598311000,23990612000,45218323000,21270138000,1609372800,21270138000,-42427000,-4770269000,3609243000,270204212000,248934074000,224985889000,-13005946000,4654949000,4598311000,7816434000,211879000,120257617000,40119322000,3424867000,4327594000,163801806000,1609372800,23576206000,1303983000,7166296000,13266366000,28885608000,9164941000,11654590000,19679743000,40835231000,1590194000,4558146000,9468506000,54736779000,60537299000,171096000,3417280000,16851109000,61344604000,22702464000,22197441000
2019-12-31,7497800000,2845083000,6068368000,18492478000,31946351000,13196105000,1577750400,13196105000,257768000,-4532120000,1032946000,204523575000,191327470000,172577224000,-5698305000,6464854000,6068368000,6052954000,211879000,93857338000,29636966000,2845083000,3371826000,126339387000,1577750400,23576206000,1057038000,5220498000,10680849000,24497750000,628383000,9714776000,10033967000,28457692000,1506129000,2078899000,1234105000,44055900000,41924374000,93633000,-913738000,13487774000,50949144000,17345595000,15438843000
2018-12-31,-1098358000,2299213000,25199000,16377795000,26340190000,7329541000,1546214400,7329541000,2632854000,-3935177000,-1308474000,181680244000,174350703000,155340054000,-8427899000,210116000,25199000,5819296000,211879000,86199622000,25646996000,2299213000,1569360000,114145831000,1546214400,23576206000,892754000,2493445000,11367013000,23775575000,-634534000,11288811000,8935779000,21601716000,1159445000,2922635000,-10395000,36277633000,36899549000,84967000,-3947875000,12568329000,53230893000,14502687000,12165387000
