,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,deferredLongTermAssetCharges
2021-12-31,1819434000.0,3589000.0,1563725000.0,358668000.0,5911212000.0,5543428000.0,1640908800.0,5543428000.0,9116000.0,-3300504000.0,254464000.0,12540673000.0,6997245000.0,6629461000.0,-3723994000.0,1564970000.0,1563725000.0,6687021000.0,30183128000.0,7929008000.0,3589000.0,1497396000.0,38115725000.0,1640908800.0,4902648000.0,1460424000.0,3561197000.0,7041424000.0,253901000.0,-534837000.0,5939870000.0,5156406000.0,5775159000.0,3495158000.0,-534837000.0,14523945000.0,8517934000.0,2193054000.0,988086000.0,1749958000.0,17259729000.0,151146000.0,406252000.0,
2020-12-31,3687128000.0,2469000.0,2797091000.0,304239000.0,5463302000.0,5154396000.0,1609372800.0,5154396000.0,4667000.0,-2107061000.0,889860000.0,12259159000.0,7104763000.0,6795857000.0,-1467268000.0,2797268000.0,2797091000.0,4932913000.0,27444250000.0,7739529000.0,2469000.0,2670980000.0,35186248000.0,1609372800.0,4902648000.0,1108537000.0,3546496000.0,6401384000.0,253901000.0,-709615000.0,4329890000.0,4538946000.0,5380926000.0,1844572000.0,-709615000.0,15684839000.0,7733297000.0,2251408000.0,2552715000.0,1896386000.0,15557112000.0,189428000.0,493381000.0,
2019-12-31,3087937000.0,3666000.0,2309925000.0,281907000.0,4151515000.0,4190013000.0,1577750400.0,4190013000.0,-320405000.0,-1306319000.0,776838000.0,9804478000.0,5614465000.0,5652963000.0,-1102076000.0,2311099000.0,2309925000.0,3690189000.0,23136758000.0,6995154000.0,3666000.0,2359590000.0,30135578000.0,1577750400.0,4902648000.0,1036386000.0,2123245000.0,5030564000.0,92715000.0,-30739000.0,1240199000.0,3870261000.0,5979644000.0,2850921000.0,-30739000.0,15492077000.0,6745671000.0,2874727000.0,3212250000.0,1618060000.0,12012067000.0,220964000.0,495540000.0,13543000.0
2018-12-31,2967816000.0,4391000.0,2314361000.0,235616000.0,3918806000.0,3679542000.0,1546214400.0,3679542000.0,3648000.0,-800546000.0,652409000.0,8794792000.0,5115250000.0,4875986000.0,-711726000.0,2315407000.0,2314361000.0,3611931000.0,17414968000.0,6316186000.0,4391000.0,2671899000.0,23735545000.0,1546214400.0,4902648000.0,660067000.0,1106277000.0,4156776000.0,18522000.0,307261000.0,912948000.0,2415792000.0,4170261000.0,670540000.0,307261000.0,14635467000.0,4556677000.0,,2685733000.0,1355137000.0,9087931000.0,125681000.0,588471000.0,
