,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable
2021-12-31,369000000.0,2731000000.0,802000000.0,9353000000.0,12950000000.0,2044000000.0,1640908800.0,2044000000.0,-300000000.0,-1235000000.0,-594000000.0,51291000000.0,49247000000.0,38341000000.0,-1675000000.0,-3000000.0,963000000.0,802000000.0,4583000000.0,33063000000.0,13649000000.0,2731000000.0,2554000000.0,49443000000.0,1640908800.0,5859000000.0,1457000000.0,6926000000.0,3708000000.0,729000000.0,864000000.0,8220000000.0,8274000000.0,16550000000.0,581000000.0,1652000000.0,865000000.0,16785000000.0,17872000000.0,1254000000.0,8337000000.0,2884000000.0,7582000000.0,5257000000.0,10078000000.0
2020-12-31,1901000000.0,3112000000.0,2179000000.0,9343000000.0,13749000000.0,2228000000.0,1609372800.0,2228000000.0,374000000.0,-1116000000.0,662000000.0,51253000000.0,49025000000.0,37504000000.0,-327000000.0,1087000000.0,1239000000.0,2179000000.0,4811000000.0,36488000000.0,13695000000.0,3112000000.0,2234000000.0,53295000000.0,1609372800.0,5434000000.0,360000000.0,6097000000.0,3736000000.0,750000000.0,2164000000.0,8352000000.0,8711000000.0,18483000000.0,,2409000000.0,2171000000.0,20491000000.0,17641000000.0,1250000000.0,8134000000.0,2034000000.0,6842000000.0,6536000000.0,11424000000.0
2019-12-31,-368000000.0,2608000000.0,790000000.0,5698000000.0,7613000000.0,723000000.0,1577750400.0,723000000.0,164000000.0,-865000000.0,-95000000.0,28838000000.0,28115000000.0,21225000000.0,-1091000000.0,1109000000.0,-273000000.0,790000000.0,3950000000.0,44927000000.0,10940000000.0,2608000000.0,1866000000.0,58475000000.0,1577750400.0,6857000000.0,583000000.0,3536000000.0,3356000000.0,1450000000.0,547000000.0,7372000000.0,7954000000.0,23135000000.0,337000000.0,3719000000.0,554000000.0,25126000000.0,19968000000.0,609000000.0,5540000000.0,2800000000.0,10706000000.0,8631000000.0,14887000000.0
2018-12-31,1569000000.0,2925000000.0,1149000000.0,7602000000.0,11609000000.0,2805005000.0,1546214400.0,2805005000.0,215000000.0,-977000000.0,413000000.0,49388000000.0,46582995000.0,37779000000.0,-1236005000.0,128000000.0,1156000000.0,1149000000.0,660000000.0,48829000000.0,10234000000.0,2925000000.0,24618000000.0,61988000000.0,1546214400.0,6825000000.0,29206000000.0,3062000000.0,2570000000.0,1260000000.0,347000000.0,4066000000.0,4369000000.0,37587000000.0,298000000.0,2130000000.0,347000000.0,14950000000.0,40849000000.0,203000000.0,8314000000.0,1365000000.0,3392000000.0,5909000000.0,9246000000.0
