,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,amount_shares,price_stock,LPA,preco_lucro,P/VP,PL,P/ATIVO,VPA,VM,EV,EV/EBIT,NOPAT
2021-12-31,-44582000.0,67555000.0,-905000.0,147289000.0,408269000.0,243623000.0,1640908800.0,243623000.0,10184000.0,-200503000.0,-60573000.0,727799000.0,484176000.0,319530000.0,-288205000.0,15991000.0,-905000.0,1495112000.0,1278036000.0,4107890000.0,67555000.0,439085000.0,5453481000.0,1640908800.0,4146616000.0,8028000.0,-269554000.0,644599000.0,230828000.0,271408000.0,118725000.0,566863000.0,96718000.0,673000.0,230828000.0,973503000.0,2713458000.0,2612778000.0,2389374000.0,169362000.0,47539000.0,16622000.0,53609000.0,105858883,31.670000076293945,-0.008549117224295669,-3704.4760582170074,3352550832.686392,6.0007483994029e+16,0.6147542886252637,38.80534050222313,3352550832.686392,3234498832.686392,13.276656279113187,304196000.0
2020-12-31,-301630000.0,67555000.0,-259233000.0,55775000.0,98019000.0,2325000.0,1609372800.0,2325000.0,38539000.0,-61905000.0,-25100000.0,204254000.0,201929000.0,106235000.0,-303955000.0,-276530000.0,-259233000.0,835658000.0,1031964000.0,1077100000.0,,58361000.0,2109064000.0,1609372800.0,1228618000.0,2904000.0,-260498000.0,293229000.0,108980000.0,148523000.0,287942000.0,114511000.0,16489000.0,9566000.0,108980000.0,353066000.0,771817000.0,241442000.0,417520000.0,56221000.0,623219000.0,4751000.0,22445000.0,105858883,34.0,-2.4488544811114243,-13.884042625745952,3599202022.0,1.2122006551213e+16,1.7065399731824167,10.174866477667255,3599202022.0,3320826022.0,1428.3122675268817,27425000.0
2019-12-31,-28131000.0,67555000.0,-31966000.0,30169000.0,16369000.0,-80164000.0,1577750400.0,-80164000.0,66364000.0,-32000.0,3835000.0,32400000.0,112564000.0,16031000.0,52033000.0,-31966000.0,-31966000.0,845000.0,159651000.0,236793000.0,,32651000.0,396444000.0,1577750400.0,327267000.0,27095000.0,-98835000.0,122887000.0,8361000.0,33725000.0,63573000.0,35723000.0,,,8479000.0,264904000.0,96970000.0,235948000.0,,4082000.0,,,778000.0,105858883,65.22980499267578,-0.30196804551584017,-216.01558827605837,6905154294.832481,3781596877409000.0,17.417729351011698,2.2368741601023694,6905154294.832481,,,-83999000.0
2018-12-31,-8283000.0,67555000.0,-11768000.0,35915000.0,22051000.0,2174000.0,1546214400.0,2174000.0,-54467000.0,-32000.0,3485000.0,33689000.0,31515000.0,11638000.0,-10457000.0,-11768000.0,-11768000.0,28793000.0,169863000.0,255919000.0,,18568000.0,425782000.0,1546214400.0,327267000.0,3629000.0,-66869000.0,136957000.0,-4479000.0,47304000.0,82757000.0,32906000.0,,,-4361000.0,246215000.0,103470000.0,227126000.0,,15226000.0,,,4293000.0,105858883,35.4345588684082,-0.11116686353095186,-318.75108951456804,3751062821.4074364,3483392403998000.0,8.809820099035273,2.4175486529552743,3751062821.4074364,,,-1311000.0
