,incomeBeforeTax,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable
2021-12-31,-1395465000.0,-682701000.0,387114000.0,-968707000.0,-1453099000.0,1640908800.0,-1453099000.0,97278000.0,-62849000.0,-712764000.0,10991022000.0,12444121000.0,11959729000.0,57634000.0,-682701000.0,-682701000.0,212817000.0,1006000.0,19040081000.0,3634360000.0,2936291000.0,22674441000.0,1640908800.0,4253080000.0,6582635000.0,148666000.0,864785000.0,-768392000.0,3521917000.0,38774000.0,17351763000.0,2068057000.0,10354000.0,-484632000.0,64503000.0,13876449000.0,4998755000.0,3549240000.0,561595000.0,3325396000.0,819107000.0,14128682000.0
2020-12-31,-1861918000.0,-1481516000.0,318632000.0,-1384666000.0,-1845295000.0,1609372800.0,-1845295000.0,141997000.0,-4504000.0,-380402000.0,11846278000.0,13691573000.0,13230944000.0,-16623000.0,-1481516000.0,-1481516000.0,196881000.0,1006000.0,18075602000.0,4414802000.0,3729975000.0,22490404000.0,1609372800.0,1953080000.0,7326240000.0,832747000.0,814600000.0,1627969000.0,2460592000.0,14563000.0,16437261000.0,1292143000.0,4160000.0,1911729000.0,72582000.0,15276201000.0,4484148000.0,4348915000.0,898955000.0,4800976000.0,816476000.0,12390862000.0
2019-12-31,1184993000.0,1210120000.0,325009000.0,2163311000.0,1573191000.0,1577750400.0,1573191000.0,265111000.0,-4504000.0,-25127000.0,7465977000.0,5892786000.0,5302666000.0,-388198000.0,1210120000.0,1210120000.0,147630000.0,,13556102000.0,3945150000.0,3270509000.0,17501252000.0,1577750400.0,1953080000.0,5399276000.0,2195338000.0,1209434000.0,-203268000.0,2730020000.0,35864000.0,12336253000.0,540686000.0,,-191071000.0,81952000.0,10894847000.0,3646803000.0,3900449000.0,440121000.0,4602803000.0,,8839267000.0
2018-12-31,1276814000.0,1101589000.0,238346000.0,3197625000.0,1433567000.0,1546214400.0,1433567000.0,1525712000.0,-156753000.0,175225000.0,6369195000.0,4935628000.0,3171570000.0,-156753000.0,1101589000.0,1101589000.0,113073000.0,,12302332000.0,3631648000.0,2650633000.0,15933980000.0,1546214400.0,1953080000.0,4287091000.0,1804905000.0,1080479000.0,-126337000.0,2054899000.0,43131000.0,11221853000.0,386215000.0,,-113381000.0,74353000.0,10325267000.0,3366388000.0,3588869000.0,224100000.0,3387685000.0,,8384896000.0
