,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable
2021-12-31,1180074000,479992000,804945000,1145699000,1841044000,605601000,1640908800,605601000,89744000,-94574000,277397000,7118400000,6512799000,5277356000,574473000,902677000,804945000,177344000,13625461000,6119506000,479992000,2185843000,20224959000,1640908800,4615171000,324190000,1358777000,5025872000,145558000,9325673000,947928000,4047431000,855250000,145946000,611611000,9582389000,527942000,5942162000,1492808000,2388109000,4478103000,4319247000,716428000
2020-12-31,760747000,361254000,550140000,1082671000,1874338000,722676000,1609372800,722676000,68991000,-75418000,139755000,6646359000,5923683000,4772021000,38071000,620992000,550140000,164431000,12027430000,5673331000,361254000,2222016000,18062015000,1609372800,4609424000,119386000,921916000,4367345000,141991000,8566720000,1080705000,3615810000,687520000,143111000,564393000,8564095000,202376000,5508900000,1599644000,1922102000,3967724000,3741278000,467929000
2019-12-31,877920000,267019000,690245000,943928000,1842267000,858596000,1577750400,858596000,39743000,-31094000,130044000,6055722000,5197126000,4213455000,19324000,747876000,690245000,118178000,9577534000,4841770000,267019000,1613031000,14686323000,1577750400,4282130000,98932000,514871000,4180445000,44769000,6081333000,674919000,2806114000,671611000,49555000,485757000,7801154000,199901000,4723592000,1330773000,1654971000,2515021000,3959745000,303645000
2018-12-31,878566000,244141000,690308000,933333000,1798506000,807528000,1546214400,807528000,57645000,-81000000,120429000,5418995000,4611467000,3620489000,71038000,758137000,690308000,95627000,8762305000,4630445000,244141000,1622584000,13636891000,1546214400,4079770000,71091000,544569000,3673026000,6106000,5267165000,794852000,2641253000,415527000,42187000,300854000,7861258000,111987000,4534818000,1585525000,1565035000,2422389000,3752301000,379989000
