,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable
2021-12-31,497365000,2810000,453099000,250030000,963054000,630530000,1640908800,630530000,26730000,-177628000,44667000,1277513000,646983000,314459000,-133165000,452698000,453099000,65502000,710559000,4299267000,6360383000,2810000,99087000,491214000,10662460000,1640908800,2988062000,326448000,2658231000,601221000,303430000,3531000,8471213000,553793000,1058157000,21478000,429509000,198366000,147811000,1535087000,139417000,5991451000,588409000,2594203000,66437000,137377000
2020-12-31,1070330000,3298000,964174000,221633000,785500000,499602000,1609372800,499602000,35348000,-136807000,106352000,1076355000,576753000,290855000,570728000,963978000,964174000,62256000,709775000,4331261000,6229725000,3298000,87987000,462956000,10564284000,1609372800,2988062000,76009000,2499901000,564742000,311931000,31987000,8063462000,1223414000,998406000,18417000,396555000,184794000,146905000,1838108000,141622000,5855538000,522353000,2724744000,16332000,138432000
2019-12-31,559009000,3332000,470998000,230306000,1017293000,705414000,1577750400,705414000,-1101000,-208585000,89814000,1311235000,605821000,293942000,-146405000,469195000,470998000,58055000,707710000,3985748000,5587669000,3332000,118606000,235313000,9576749000,1577750400,2988062000,950660000,1804831000,415112000,318669000,87066000,7572048000,36463000,928678000,17171000,500163000,176221000,148303000,1319295000,160379000,5210945000,306435000,2603274000,25737000,185133000
2018-12-31,594881000,16207000,472948000,175165000,939021000,736494000,1546214400,736494000,3001000,-214552000,124308000,1237126000,500632000,298105000,-141613000,470573000,472948000,53470000,706517000,3523071000,5335980000,16207000,108621000,210012000,8875258000,1546214400,2988062000,887392000,1613708000,391994000,310168000,27693000,7025629000,38864000,713933000,21613000,396588000,159922000,80584000,1274156000,131251000,4972342000,311485000,2417144000,36415000,63603000
