TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
MILS3;13,36;2,10;18,42;2,88;1,81;60,66;26,24;20,02;14,06;14,12;0,06;0,01;3,69;5,39;-3,31;3,87;15,62;9,82;11,19;0,63;0,37;0,49;13,23;;16.193.795,00;4,66;0,73;0,05;3.300.538.670,40
MLAS3;5,07;2,43;6,87;0,99;0,65;24,82;14,08;13,90;6,78;7,07;0,29;0,04;0,96;1,17;-3,19;3,35;14,45;9,50;11,83;0,66;0,34;0,68;;;7.866.489,84;5,11;0,74;-0,34;4.160.133.870,75
MODL11;8,46;3,63;18,65;1,51;0,26;63,28;14,33;8,02;10,44;10,44;;;1,50;;-0,32;;8,09;1,42;;0,17;0,83;0,18;;;3.256.574,36;5,61;0,45;0,25;1.985.844.000,00
MODL3;2,57;3,89;17,39;1,41;0,25;63,28;14,33;8,02;9,74;10,44;;;1,40;;-0,30;;8,09;1,42;;0,17;0,83;0,18;;;11.798.372,32;1,87;0,15;0,23;1.985.844.000,00
MOSI3;8,24;;32,29;1,56;1,46;89,47;6,23;14,75;76,45;36,94;-39,51;-0,81;4,76;1,91;-8,40;13,23;4,84;4,52;0,25;0,93;0,07;0,31;;;6.097.270,00;5,27;0,26;;1.043.149.227,20
MOVI3;12,42;10,55;4,98;1,71;0,21;43,58;31,93;12,92;2,02;6,19;4,17;3,54;0,64;1,36;-0,32;1,80;34,36;4,20;10,75;0,12;0,88;0,32;23,01;89,92;37.704.379,48;7,88;2,71;0,05;4.883.832.119,28
MRFG3;11,34;22,68;1,13;1,08;0,06;17,92;15,04;6,41;0,48;3,09;2,61;5,87;0,07;0,72;-0,09;1,28;95,91;5,00;16,31;0,05;0,78;0,78;35,31;;114.443.651,88;10,57;10,14;0,02;7.530.600.000,00
MRVE3;9,87;5,71;7,95;0,77;0,21;22,59;17,60;8,52;3,85;7,70;3,86;0,77;0,68;0,74;-0,42;2,49;9,68;2,70;6,37;0,28;0,69;0,32;10,87;1,31;175.626.166,00;12,72;1,23;-0,66;4.726.016.676,42
MTRE3;5,46;5,85;21,14;0,60;0,37;32,80;7,17;4,32;12,75;11,25;-1,50;-0,07;0,91;0,65;-1,84;3,37;2,84;1,74;2,84;0,61;0,38;0,40;57,62;129,40;2.375.812,64;9,32;0,26;-0,45;592.338.992,00
MULT3;25,92;3,52;21,04;2,39;1,43;80,46;56,14;42,94;16,09;18,03;1,94;0,29;9,04;113,09;-1,71;1,08;11,37;6,77;10,04;0,60;0,40;0,16;3,03;18,98;122.130.822,60;10,89;1,24;0,23;15.649.820.793,75
MYPK3;13,75;13,18;3,45;0,53;0,14;12,75;9,08;3,92;1,49;4,71;3,22;1,14;0,14;0,76;-0,30;1,56;15,39;4,17;11,13;0,27;0,71;1,06;14,96;95,93;22.232.854,52;26,27;4,04;0,01;2.144.388.433,95
NEOE3;16,02;4,97;4,42;0,77;0,22;28,89;20,82;10,23;2,17;6,08;3,92;1,38;0,45;4,44;-0,29;1,25;17,34;4,89;12,17;0,28;0,71;0,48;23,82;70,91;30.035.698,24;20,98;3,64;1,43;19.505.721.775,36
NGRD3;1,61;0,92;290,70;0,86;0,54;64,86;2,03;0,51;72,47;35,85;-36,62;-0,43;1,47;1,91;-1,02;2,48;0,29;0,19;-0,05;0,63;0,37;0,37;;;1.329.762,08;1,89;0,01;-3,11;386.632.974,60
NTCO3;13,25;0,98;-42,04;0,77;0,34;64,52;2,01;-1,16;24,23;35,67;11,44;0,36;0,49;5,38;-0,47;1,30;-1,82;-0,81;1,00;0,45;0,55;0,70;38,39;;222.664.308,60;17,52;-0,32;0,25;18.561.043.644,00
ODPV3;8,50;3,44;10,90;4,17;2,37;61,42;29,78;23,72;8,68;8,22;-0,46;-0,22;2,58;-25,96;-3,18;0,74;38,23;21,75;31,81;0,57;0,43;0,92;6,18;15,52;26.036.907,12;2,04;0,78;0,61;4.843.328.641,56
OFSA3;25,00;2,15;12,04;1,98;1,04;49,27;14,70;11,88;9,73;11,40;1,67;0,34;1,43;2,34;-2,80;3,45;16,48;8,66;11,83;0,53;0,47;0,73;14,66;;299.741,38;12,60;2,08;-2,17;1.348.725.150,00
OMGE3;27,57;;14,63;1,37;0,45;30,33;60,08;18,41;4,48;8,44;3,95;1,21;2,69;11,51;-0,53;1,30;9,39;3,04;10,70;0,32;0,68;0,17;55,45;107,85;49.236.324,19;20,06;1,88;-0,03;5.521.562.588,85
ONCO3;7,83;;37,47;2,18;0,61;34,14;13,25;3,32;9,39;12,74;3,35;0,78;1,24;3,35;-0,96;2,00;5,82;1,63;6,54;0,28;0,64;0,49;;;6.716.646,88;3,62;0,21;-0,29;3.925.700.297,96
OPCT3;3,14;;-5,75;0,85;0,29;15,51;0,19;-10,65;318,25;789,02;470,77;1,26;0,61;8,94;-0,37;1,16;-14,81;-4,96;-0,33;0,33;0,67;0,47;;;1.533.573,76;3,82;-0,57;-0,01;649.868.550,50
ORVR3;44,20;;-60,91;7,41;1,95;38,67;21,75;-10,49;29,37;34,51;5,14;1,30;6,39;31,25;-2,50;1,40;-12,17;-3,20;5,56;0,26;0,73;0,31;;;15.400.436,24;6,09;-0,74;3,88;3.226.793.646,10
PARD3;23,05;2,52;15,73;3,24;1,36;29,01;16,36;9,47;9,11;9,63;0,52;0,19;1,49;67,20;-1,89;1,08;20,56;8,62;23,10;0,42;0,58;0,91;17,16;13,55;13.958.163,68;7,20;1,48;-1,16;3.053.111.049,45
PCAR3;19,80;1,79;3,14;0,40;0,12;25,35;3,28;3,75;3,58;6,26;2,68;0,30;0,12;6,07;-0,18;1,07;12,60;3,93;4,49;0,31;0,63;1,05;4,35;;48.274.121,44;50,20;6,32;0,56;5.351.387.747,20
PDTC3;3,74;;-54,38;2,43;0,61;33,59;11,66;-1,54;7,20;8,17;0,97;0,33;0,84;1,79;-2,28;1,89;-4,46;-1,13;16,05;0,25;0,75;0,73;225,48;;276.844,68;1,53;-0,07;0,48;290.264.182,30
PETR3;30,53;54,42;2,26;1,07;0,42;51,31;47,78;28,61;1,36;2,16;0,87;0,69;0,65;16,99;-0,51;1,17;47,38;18,63;31,73;0,39;0,61;0,65;9,88;;938.777.074,80;28,56;13,53;0,07;380.057.832.063,66
PETR4;27,17;61,39;2,01;0,95;0,37;51,31;47,78;28,61;1,20;2,16;0,87;0,69;0,57;15,06;-0,45;1,17;47,38;18,63;31,73;0,39;0,61;0,65;9,88;;3.640.913.501,72;28,56;13,53;0,07;380.057.832.063,66
PETZ3;8,59;0,59;55,81;2,24;1,16;48,64;6,32;2,94;26,01;24,41;-1,60;-0,14;1,64;7,10;-1,77;1,90;4,01;2,08;6,98;0,52;0,48;0,71;;;116.656.349,20;3,89;0,16;3,64;4.016.293.099,50
PFRM3;3,90;6,78;5,17;0,42;0,11;14,49;2,81;1,36;2,50;6,75;4,25;0,72;0,07;0,54;-0,36;1,46;8,20;2,22;6,60;0,27;0,65;1,64;9,44;;992.391,64;9,41;0,77;-1,66;494.012.964,27
PGMN3;5,76;;20,82;1,23;0,41;32,19;4,53;1,62;7,45;9,26;1,81;0,30;0,34;2,29;-0,84;1,55;5,89;1,99;10,23;0,34;0,66;1,23;6,32;25,12;3.854.381,72;4,90;0,29;-0,63;2.662.686.372,00
PLPL3;4,65;3,36;9,01;2,81;0,70;28,62;10,46;8,49;7,31;8,58;1,27;0,49;0,77;1,00;-6,53;4,64;31,22;7,80;13,02;0,25;0,75;0,92;;;3.601.495,80;1,71;0,53;-0,33;980.428.800,00
PNVL3;12,68;1,45;23,62;1,81;0,78;30,85;3,27;2,31;16,71;23,07;6,36;0,69;0,55;3,02;-1,79;1,85;7,67;3,31;5,53;0,43;0,57;1,43;8,67;9,31;5.975.204,52;7,18;0,55;4,64;1.956.411.027,81
POMO3;2,33;1,59;8,46;0,72;0,30;12,71;3,25;5,51;14,35;25,66;9,41;0,47;0,47;1,50;-0,67;1,57;8,53;3,54;1,65;0,42;0,58;0,64;6,33;3,43;274.978,24;3,22;0,27;-0,21;2.487.319.712,48
POMO4;2,76;1,32;10,21;0,87;0,36;12,71;3,25;5,51;17,32;25,66;9,41;0,47;0,56;1,81;-0,81;1,57;8,53;3,54;1,65;0,42;0,58;0,64;6,33;3,43;16.522.189,88;3,22;0,27;-0,25;2.487.319.712,48
PORT3;11,27;3,93;22,09;2,21;0,91;42,98;23,91;10,33;9,54;14,31;4,77;1,10;2,28;18.719,26;-1,04;1,00;10,00;4,10;8,12;0,41;0,59;0,40;6,17;-5,01;3.729.671,48;5,14;0,51;-1,65;4.998.043.296,00
POSI3;12,05;2,82;8,06;1,34;0,40;20,57;9,81;4,65;3,82;6,11;2,29;0,81;0,37;1,12;-2,59;1,73;16,62;4,94;16,52;0,30;0,70;1,06;14,02;88,83;25.523.773,76;9,00;1,50;-0,27;1.710.108.000,00
POWE3;10,90;;23,92;0,99;0,38;6,82;3,52;2,59;17,55;10,60;-6,96;-0,39;0,62;6,57;-0,74;1,13;4,13;1,58;3,81;0,38;0,62;0,61;;;5.388.846,38;11,02;0,46;-1,77;977.237.930,40
PRIO3;36,56;;9,51;3,48;1,61;65,73;58,63;47,17;7,65;7,62;-0,03;-0,01;4,48;3,31;-3,65;7,82;36,60;16,97;20,56;0,46;0,54;0,36;61,68;69,51;392.080.364,12;10,47;3,83;0,04;32.145.981.341,70
PRNR3;6,59;1,39;12,09;1,12;0,64;18,42;7,42;3,89;6,34;6,59;0,24;0,04;0,47;3,05;-1,32;1,68;9,24;5,28;10,81;0,57;0,43;1,36;16,24;28,14;1.517.903,72;6,03;0,56;0,34;261.852.569,61
PSSA3;23,79;4,81;17,32;1,66;0,34;100,00;2,01;3,74;32,23;12,76;-19,47;-1,00;0,65;5,72;-0,94;1,10;9,56;1,96;4,32;0,20;0,80;0,52;5,64;-0,36;48.699.588,80;14,55;1,39;-0,35;15.576.258.185,40
PTBL3;11,24;7,94;7,09;3,55;0,72;44,48;16,15;10,64;4,67;6,24;1,57;1,19;0,75;6,76;-1,35;1,30;50,09;10,23;25,45;0,20;0,80;0,96;13,47;154,54;15.887.090,84;3,22;1,61;0,11;1.608.660.369,26
PTNT4;5,94;;4,23;0,69;0,35;16,26;11,09;8,00;3,05;5,67;1,61;0,36;0,34;1,74;-0,75;1,60;16,30;8,27;10,71;0,51;0,49;1,03;11,78;22,30;506.176,92;8,62;1,41;0,16;380.056.159,56
QUAL3;7,96;3,30;7,73;1,57;0,45;79,97;28,94;13,89;3,71;6,20;2,49;1,06;1,07;3,48;-0,68;1,58;20,36;5,76;11,14;0,28;0,71;0,41;1,31;-6,81;28.861.026,52;4,92;1,00;-0,27;2.198.270.875,50
